iter,Tiempo (min),mse
0,1.8255581895510355,0.019523996859788895
1,1.8768579562505086,0.02224198542535305
2,1.7958931525548298,0.03234681859612465
3,1.789519210656484,0.02051190286874771
4,1.810534449418386,0.02829808183014393
5,1.8048760096232097,0.018395038321614265
6,1.8148662606875101,0.0288302730768919
7,1.8932275255521138,0.027787495404481888
8,1.8173065741856893,0.013809175230562687
9,1.7925659139951071,0.02145961858332157
10,1.8634214282035828,0.00834549218416214
Promedio,1.8258751518798597,0.021959079852835697
Desviación Estándar,0.034040763428060866,0.006755996262998965
