Repetion,Time (min),MSE
0,0.16667915185292562,0.01745128072798252
1,0.18755719264348347,0.005354256834834814
2,0.09129372437795004,0.01622833125293255
3,0.09575937986373902,0.015013130381703377
4,0.09340343475341797,0.030055267736315727
Mean,0.12693857669830322,0.016820453386753798
Std,0.04152404958618882,0.007882245142533901
