Repetion, Time(min), MSE
0, 0.09115311702092489, 0.05267256498336792
1, 0.1034184734026591, 0.06167706474661827
2, 0.08975334564844767, 0.03659241273999214
3, 0.10356312990188599, 0.037875737994909286
4, 0.10274181365966797, 0.04258188605308533
Mean, 0.09812597592671712, 0.04627993330359459
Std, 0.006286506660398285, 0.009550827224808723
