iter,Tiempo (min),mse
0,1.8639860987663268,0.47877323627471924
1,1.9121656974156698,0.029913512989878654
2,1.8223913033803305,0.03577491641044617
3,1.8560597538948058,0.02542722411453724
4,1.786615828673045,0.054382454603910446
5,1.8011619885762533,1.129855990409851
6,1.8071298440297445,0.05948624014854431
7,1.7791629552841186,0.06928857415914536
8,1.777599561214447,0.03179040178656578
9,1.8569314082463582,0.034615658223629
10,1.856016206741333,0.04024522006511688
Promedio,1.829020058747494,0.18086849356239493
Desviación Estándar,0.04112277931825099,0.3252827536008639
