iter,Tiempo (min),mse
0,1.405819582939148,0.0034119365736842155
1,1.4049511194229125,0.009267650544643402
2,1.426448369026184,0.003479736391454935
3,1.4148686289787293,0.005640235263854265
4,1.3731493631998697,0.0027092916425317526
5,1.4349245309829712,0.002506606513634324
6,1.3922191898028056,0.0014339577173814178
7,1.3974584937095642,0.0016422580229118466
8,1.4120420614878337,0.0028707515448331833
9,1.3934749801953634,0.0022422396577894688
10,1.3533973177274068,0.003053093096241355
11,1.3849032282829286,0.002647364977747202
12,1.3703125715255737,0.002633144613355398
13,1.359783943494161,0.0026613909285515547
14,1.37564510901769,0.007558110635727644
15,1.3489096283912658,0.002734852721914649
16,1.400278882185618,0.0030857454985380173
17,1.3613006790479025,0.0019944370724260807
18,1.395388944943746,0.0025615014601498842
19,1.4116585691769918,0.006015478167682886
20,1.4269502838452657,0.0022052342537790537
Promedio,1.3925659751135206,0.0034454770142301207
Desviación Estándar,0.024394263741955885,0.0019500930557883002
