iter,Tiempo (min),mse
0,1.4001861174901327,0.008299174718558788
1,1.4491364399592082,0.012667047791182995
2,1.4026709874471028,0.013787238858640194
3,1.400552789370219,0.013652839697897434
4,1.4423384626706441,0.016147606074810028
5,1.4286567171414692,0.01354785542935133
6,1.3790574232737223,0.013410456478595734
7,1.4274544676144918,0.01393052376806736
8,1.395288336277008,0.011912948451936245
9,1.3870591680208841,0.00737846689298749
10,1.402558716138204,0.012593807652592659
11,1.3761574149131774,0.009838337078690529
12,1.393057374159495,0.008842234499752522
13,1.445912233988444,0.015126761980354786
14,1.4027542432149251,0.014323852024972439
15,1.4500228961308796,0.010482089594006538
16,1.424057392279307,0.01091201975941658
17,1.4101672093073527,0.014887933619320393
18,1.438114047050476,0.009448498487472534
19,1.4128262639045714,0.016797205433249474
20,1.371444050470988,0.011036803014576435
Promedio,1.4114034643248903,0.012334461966972975
Desviación Estándar,0.023946958796098133,0.0025527926578012643
