Repetion,Time (min),MSE
0,0.08521220286687216,0.018814848735928535
1,0.08586848179499308,0.02147468738257885
2,0.09221675793329874,0.025266708806157112
3,0.1049046516418457,0.01422142144292593
4,0.09781946341196696,0.017839748412370682
Mean,0.09320431152979533,0.01952348295599222
Std,0.007441250520135726,0.0036943422321139116
