Repetion,Time (min),MSE
0,0.08504083951314291,0.01105538010597229
1,0.09337557554244995,0.029596542939543724
2,0.10322783788045248,0.010782172903418541
3,0.09385866324106852,0.03453437238931656
4,0.08327539761861165,0.011288539506494999
Mean,0.0917556627591451,0.01945140156894922
Std,0.007150682184871969,0.010418262055737352
