Repetion,Time (min),MSE
0,0.08915950854619344,0.03060699626803398
1,0.08453784783681234,0.032754085958004
2,0.08315871556599935,0.04457166790962219
3,0.09349010785420736,0.04446495696902275
4,0.09260399341583252,0.03757051005959511
Mean,0.088590034643809,0.037993643432855606
Std,0.004156111833433792,0.005785202945821831
