W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
4.7298681981588825e-06,1.553013576084829e-06,1.008696583372615e-06,3.23546119463762,1.0707562713233363e-13,22253043.154877942,0.0013362711674338016,1.3101873896921914e-09
4.968983700665469e-06,6.198809967470536e-06,6.403492979929672e-07,3.731350438866875,7.690924776481679e-14,139411327.03333414,0.007846414895171672,1.4392812458835704e-10
4.987354212629001e-06,2.095220408750745e-06,1.0380779190875242e-06,3.4417618523849614,1.6445632934503343e-13,19020334.637513474,0.0019985797754625907,1.3690253326870415e-09
6.495778898313919e-07,3.7070113458285704e-06,5.17476236651165e-07,3.2880986196296496,2.0650463137359015e-13,14375200.021283071,0.00172411101641327,1.0276385029324412e-09
3.991345426821754e-06,4.1513362763804205e-06,5.570188516216867e-07,3.042752900914849,4.1825074031617384e-13,16143974.743559869,0.003220880827009964,1.288601295901207e-09
2.170501482019535e-06,7.594578658123656e-06,1.617026336440185e-06,3.147095342351729,4.623947178217307e-13,5272555.82709842,0.0012897388901465896,3.0799760614613632e-09
4.761132696150452e-06,8.971897305537272e-06,8.188444951608455e-07,3.5249389508562605,1.2723629694707955e-13,72526903.97091585,0.005777153797428998,2.464409059949858e-10
7.144369067170013e-07,5.127298716939949e-06,6.809881527160244e-07,3.703217761292814,3.403033406084117e-13,9348288.797704019,0.002365734155736423,2.3337388794441886e-09
6.097309877668757e-07,6.958130079836874e-06,7.147797455905961e-07,3.659207677678092,3.726134843961172e-13,8106891.759900766,0.0022256110295706248,1.5823793743126926e-09
4.619175024596342e-06,9.830590262064885e-06,1.146111629604519e-06,2.932765931808224,2.1817590630662688e-13,24039916.94152442,0.002213893281918861,7.554852180579864e-10
6.201271328098982e-07,3.778332902042483e-06,5.855759244731436e-07,3.4175874775214075,4.626135432788191e-13,5848293.038409392,0.001678868906534051,2.59620206957261e-09
2.979136468371315e-06,2.729411593534386e-06,1.0903181402665703e-06,3.6877655222446126,1.0091991497018652e-13,31004773.264969923,0.002272140379559988,7.63072271806217e-10
4.4554066905451505e-06,2.844154286182241e-06,7.004459963653802e-07,2.8874197997451345,3.245677924430045e-13,12838282.321668593,0.0018603694396414937,2.068641463455571e-09
1.2394073922121221e-06,7.683165690407825e-06,1.5024752233737753e-06,3.3346961772524875,3.1009555466506315e-13,6612672.867827974,0.0012155863473892407,2.402379349092793e-09
4.673515871763543e-06,6.3486510580642805e-06,1.7999129870055778e-06,3.0769208227884395,9.275175277852228e-14,30984471.059606064,0.001411724690598582,6.452139673944714e-10
2.727596109047169e-06,8.339737782047343e-06,1.7352662479617252e-06,3.7351296910885616,2.673043809331562e-13,12747544.513374632,0.002547552766018865,1.2372126979085364e-09
2.14592441766063e-06,5.3431460142706e-06,1.1402510504479237e-06,2.9978136197494605,4.796285484555911e-13,5703632.315440467,0.001264019593144662,3.0875065019681513e-09
1.6492977738661114e-06,9.090175902625801e-06,1.9818118547368643e-06,3.2070743793286964,3.0489461988130547e-13,6162307.314354031,0.0010192011205482684,3.161516082213736e-09
3.6305849474495413e-06,1.1410472544593109e-06,1.4730350791129845e-06,3.602574288487295,5.171291431554925e-14,27440016.27516911,0.0009916712929177193,1.0679304636766392e-09
4.829308765583754e-06,5.964094232594436e-06,1.6945045987773785e-06,3.2324585564337327,1.0234205120359955e-13,31444935.71638702,0.0017483673696254505,7.24050829088339e-10
5.642244724330475e-07,8.33350372418668e-06,5.800088479146143e-07,3.5370344990994242,6.104712394216073e-14,58129470.623701245,0.0025112095807073294,3.71000663207869e-10
1.983434974453756e-06,2.611748035743526e-06,7.180872293003006e-07,3.2327866112566905,3.6771750190834383e-13,8788177.029564053,0.0017143219463936126,2.6456557651509094e-09
3.1225699942820397e-06,4.49655153169888e-06,1.8924135807905486e-06,3.1928140061111168,3.8648557491415444e-13,5147710.080325148,0.0010247018138538717,4.050812263157752e-09
3.7052710178987914e-06,3.169185153658597e-06,1.5835627935049587e-06,3.3043527852311776,2.0959627681520828e-13,10567335.4507266,0.0012807176933830107,2.299627461298998e-09
2.3645754248250533e-06,7.66369152369404e-06,1.5874516254505146e-06,3.035807726119779,2.564043135533748e-13,9676404.442109348,0.0011860676805632412,2.0416969350311952e-09
4.472834001106205e-06,3.226498215580089e-06,5.098696764669389e-07,3.2320268696702454,1.796812184410233e-13,40555199.28684899,0.004068088641504093,6.358969643831415e-10
2.500628158850646e-06,2.3608147251625353e-06,5.174250367157362e-07,3.6858128703692854,3.318130616862616e-13,16987854.883989584,0.004008869581933089,1.4560933488356729e-09
1.1674585437802638e-06,5.944831933705984e-06,7.820434478668354e-07,3.41741331172385,4.753872211600753e-13,7497941.937235008,0.002199591493827488,2.5184050409557733e-09
4.419073892511827e-06,8.48084131593952e-06,1.5414515797169573e-06,2.9114113916376243,1.1339286027124231e-13,30905187.61115355,0.001493768399293663,5.867185045189094e-10
4.2610853548876225e-06,5.943857583592743e-06,6.494152431852055e-07,3.2402701181112277,4.862673088813308e-13,16337840.036770893,0.004242393082726942,1.240761120146261e-09
1.2030396709146519e-06,2.058401380138561e-06,1.8757762230700807e-06,3.72774971065987,1.7571244633705948e-13,nan,nan,nan
1.024675510421326e-06,5.530250446483937e-06,1.57467247246879e-06,3.4747647539403683,2.190330780279535e-13,7455278.980198495,0.0010483128447438472,2.6439001109725276e-09
4.085761877705843e-06,8.378564541814264e-06,1.5764340929468048e-06,3.273345512582271,5.275510814702717e-14,73174228.49193436,0.002140203468737759,2.933193129387382e-10
3.4529535136988535e-06,1.8366260694402216e-06,6.981406460826826e-07,3.3775347527781356,6.956332084933231e-14,52263471.12824953,0.0022197832828497726,5.160013600775372e-10
4.916997348809997e-06,6.905015323045747e-06,7.438904747757282e-07,3.4874437383758288,4.679713997577808e-13,19015317.981578864,0.005541379069895017,1.0790912378694487e-09
9.909078296874164e-07,6.942773745403117e-06,1.5737986048217788e-06,3.635369013222158,1.5314722300798995e-13,12046720.16080568,0.00131685529238252,1.394477323850953e-09
1.135725914568691e-06,2.6946875208379285e-06,9.830286048565557e-07,3.1084534525763416,1.2977983689019998e-13,13227420.879239062,0.0008264552427887532,1.482363290339263e-09
3.4678666460808232e-06,6.4477889903704494e-06,1.713144616380914e-06,3.001280765228291,3.8889319249850875e-13,6573279.507551772,0.0011370097514397442,2.9881521990745757e-09
1.6166844590435652e-06,2.4858261922196358e-06,1.521453018205049e-06,3.737828372357425,2.488593678424527e-13,nan,nan,nan
2.6004816062310747e-06,2.625580435853673e-06,1.107854536103797e-06,3.557651829114408,2.4411411592431994e-13,11090908.816391611,0.0017912875656297983,2.3015072275067247e-09
2.7077400112949647e-06,3.0815050024102903e-06,5.236370425314942e-07,2.9078062443697372,3.276492350464933e-13,14636332.89454315,0.0020788814363658023,1.4605643957993278e-09
5.993783501987579e-07,6.986769019829246e-06,9.549028888329985e-07,3.3891411487929335,2.0889239684692334e-13,9585212.706429925,0.0012621630905550294,2.0461961267710936e-09
3.422972287756088e-06,4.141657386058681e-06,1.0603777171198683e-06,3.7402743201482997,3.5130739785141594e-14,125111716.9000437,0.0032757018804277305,1.8933557832594593e-10
3.6492251168772036e-06,6.625979730819773e-06,1.6452010966573036e-06,3.6681086215213967,4.2116788732760757e-13,8688089.139143402,0.002529312396158032,2.2302763724999797e-09
2.614362372557877e-06,5.616148422037624e-06,1.8342902095316545e-06,3.244986594765626,3.5362546712075584e-13,6103429.8367424095,0.0011560163752463296,3.3242500690892126e-09
1.9918341574640477e-06,7.72948639043925e-06,8.115395632849087e-07,3.4571045499872666,2.0509081578790238e-13,25900566.590177678,0.0034203841641555367,6.687095438302452e-10
3.640503250913531e-06,6.3651786182662815e-06,1.2101173367814847e-06,3.2388498833949253,2.42466941505852e-13,16868734.857383803,0.002147401465553074,1.1745241228256034e-09
1.6406541706015444e-06,9.249027384535826e-06,6.890496124637644e-07,2.9178554422462506,1.254336747284051e-13,37528541.54328884,0.002163627977366893,5.499283561341475e-10
5.64469001689993e-07,4.1309396008552324e-06,1.058779957262553e-06,3.52811581420226,3.222050419994949e-13,4727160.622649157,0.001021649016237342,3.6305297358899955e-09
2.0910599540395357e-06,5.240311205735346e-06,1.3513948944290783e-06,3.3858229044361234,3.42263465104651e-13,7826143.584309625,0.0015863462177536179,2.3212726238058235e-09
4.993482218734694e-06,3.0479353456261563e-06,6.456031512985857e-07,3.4318876197531227,2.8825445804207893e-13,21947644.409839805,0.004006778303234749,1.1727555841230174e-09
1.2627749202271184e-06,5.679539772317951e-06,6.409170197140445e-07,3.3148771116971716,3.371067985070396e-13,12701251.255383944,0.002517625668003816,1.3998572940239924e-09
1.0106812324405518e-06,2.023280965145069e-06,1.876604261919628e-06,3.2795240558050205,2.1539702978491288e-13,3702403.5358856707,0.00042838777708686536,5.6233166742188286e-09
2.45468328036974e-06,8.811405495138617e-06,5.128442075882818e-07,2.8601992548803357,4.3794299540421957e-13,17497963.148659717,0.0033301825882000673,9.041402813236211e-10
1.7913431303320937e-06,6.950068985892843e-06,1.2524296304609231e-06,3.570273331423301,1.1381453757952144e-13,28373520.109440938,0.0021927767231517455,6.449990116024586e-10
4.653994404075694e-06,8.290428601121577e-06,1.1214346697159422e-06,3.6890943196675243,1.5527060474602906e-13,43873662.65968951,0.004679197084937739,4.72961688339946e-10
3.181108674133947e-06,2.106369054116853e-06,1.6360267301970938e-06,3.66167408103347,2.282405183712742e-13,8003409.254837854,0.0013182009746497705,3.0883864062224215e-09
3.976397644838915e-06,3.1786395214406224e-06,1.6478567001329249e-06,3.3911520846554017,2.0125477703816127e-13,11318951.79841784,0.001393948777026007,2.1120555770152023e-09
1.8728721094380078e-06,4.38691453884285e-06,1.3936378245356455e-06,3.6319363567524166,5.096158286668694e-14,48388178.9047155,0.0016819112963316115,3.6712755326077513e-10
1.271546312410405e-06,1.3730859475190074e-06,1.3977747775554839e-06,3.07854023103943,4.2364175092052464e-13,2102192.751353155,0.00043348628088132153,9.956678620685082e-09
3.60196841564663e-06,3.4421694919352695e-06,1.3441293048428551e-06,3.730850283731386,3.593230935051911e-14,88874319.72057278,0.0023738788738386085,2.37065335611793e-10
