W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
2.467366515281592e-06,4.670001476192196e-06,1.0099064219859027e-06,3.5408058073634687,1.8420605145721284e-13,21236353.928389452,0.0024556743682617225,9.829936414812954e-10
3.423306628863578e-06,8.730186414600635e-06,1.1451161027675023e-06,3.5844764679929075,2.0204724642191965e-13,27882133.56863647,0.0036918349494344505,6.86386246798621e-10
3.425034497074188e-06,1.7405191811967659e-06,1.4356354809882433e-06,3.3277823687684505,1.0102322214394015e-13,16523644.401208121,0.0009919674015438876,1.6652010494946728e-09
1.4770233853848893e-06,2.1252856125092274e-06,9.045779246341377e-07,3.319692111628455,1.4458317229806746e-13,14379397.64102969,0.0011685907211606355,1.3613758939885018e-09
3.1529420906126754e-06,2.208338389638738e-06,1.0495857827166457e-06,3.2762117166422193,1.932891932335705e-13,12941178.436052863,0.0014271881799960983,1.976276615706303e-09
1.6663654910999174e-06,6.465895228657636e-06,1.0884945361133477e-06,3.2594260063607434,9.672470103987532e-14,31435912.670175105,0.001679866179221611,4.801478048875182e-10
3.20943662965628e-06,8.678902934835506e-06,9.615400614981951e-07,3.098541357529852,2.309011771916116e-13,22847380.26603866,0.0025508319919053503,8.355160883935389e-10
7.972335429020715e-07,6.189693027437171e-06,1.5682095150269157e-06,3.6540837974880724,3.5535487015543674e-13,4388225.743921087,0.0011359050601222533,3.784051903264741e-09
1.1871658501738726e-06,3.4859656099326886e-06,1.0166554418826174e-06,3.369986887760891,3.952751354496387e-13,5467363.057987669,0.0013069345785799026,2.8218707624669003e-09
9.111600588419291e-07,4.42998343948487e-06,1.2899333484292564e-06,3.5474765960408945,1.1826040191322458e-13,14661456.192120304,0.0011879866376166461,1.3225375053061927e-09
4.96244099583075e-06,3.680883631284656e-06,1.1322935901745413e-06,3.078679337762376,2.29391441864559e-13,15067622.582902191,0.001725419841654414,1.7028662114187775e-09
4.969524539541385e-06,8.96350114556705e-06,1.2128628014211851e-06,3.090130994739731,3.526540664157127e-14,149469131.91641474,0.002639095431640028,1.294132481287099e-10
1.917167924415421e-06,5.973831888191874e-06,1.5729719832844774e-06,2.9368485384290577,4.153770606245259e-14,45543761.0370331,0.000848187432947667,4.566776940708225e-10
8.700581531063073e-07,4.879293318070112e-06,5.436413918347972e-07,3.3353096362968095,1.950822793857035e-13,19664508.8735113,0.002299611271760395,7.536286580120214e-10
1.9420653805008347e-06,7.783774331116308e-06,1.9083608666480585e-06,3.6303824514703793,3.4861323546035044e-13,6856868.455680126,0.0016923291076106752,2.6647170934946598e-09
1.2108158220188972e-06,5.206994473625691e-06,5.032685903953655e-07,3.6419865496940718,4.667504238953397e-13,12532200.639803799,0.004125541652349804,1.4173421368288704e-09
2.9047801141713266e-06,1.6089602834769276e-06,7.153451497718033e-07,3.511753389860057,1.0764150567523898e-13,30029073.11203657,0.0021458124585645778,9.089698877598714e-10
1.7283138468035027e-06,8.336543998268235e-06,1.7404148145092117e-06,3.167989228326084,2.495632115575646e-13,8351515.7983561475,0.0011261811381103582,2.184206434347849e-09
4.91390426713306e-06,2.31973831149749e-06,1.2677819568040898e-06,3.0562859902366064,4.019963516099713e-14,56961705.68840759,0.0011342033180796016,4.947835696727092e-10
3.939941915598911e-06,2.641217158534189e-06,1.1531150128796605e-06,3.1528836066543713,1.5700824092450014e-13,16693435.13033794,0.0013995838201836973,1.5359841705544675e-09
3.820634465293349e-06,2.677811171418362e-06,1.5788154890229955e-06,3.500937590787316,1.551760010842911e-13,14240896.34722244,0.0014561979734613194,1.8428620470720836e-09
8.33795054753205e-07,3.6499672909324184e-06,1.6370399890527099e-06,3.571477888030463,4.1955387291029795e-13,2896767.6071367417,0.0008242467075153977,6.1529754043500545e-09
2.1021462751757847e-06,2.5171867679543382e-06,1.0506317770570732e-06,3.5819393987780623,4.2378752501905195e-13,6046458.575719309,0.001693261449525233,3.752296498192203e-09
4.486080035611021e-06,4.890835740150786e-06,1.0869202430626592e-06,3.2603423473986592,3.429692690161749e-13,12846726.718217688,0.002412560094256268,1.7089255417422601e-09
