W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
1.7027399836514159e-06,1.8792791991128722e-06,1.499200913564895e-06,2.9101388660697918,7.876472450297854e-14,13119389.543255774,0.00046356616441732107,1.762762165855772e-09
2.1133903451683592e-06,3.265210549558695e-06,9.308776627843782e-07,2.9531652304460065,2.614357723594272e-14,96663190.35741267,0.0011646484119806066,2.40160167270272e-10
4.080566263248989e-06,1.911997927572314e-06,1.146982057303057e-06,3.2022841144959338,1.7010746485732027e-13,13163146.315537853,0.0012344673602736973,1.9398277914170127e-09
4.152026108992502e-06,5.153358033864042e-06,1.356822691749616e-06,2.9146694922191916,2.611899749534681e-13,11452290.81586728,0.0012841733000248027,1.9559594009077395e-09
2.7838952570836612e-06,9.687170635102702e-06,5.300598049031539e-07,3.1328435893948035,4.783515024523031e-13,19745370.21389946,0.004942836026948778,9.930349709750485e-10
2.0189582629615464e-06,8.111793605341759e-06,1.919028301803877e-06,3.734534179543794,2.0127318947295272e-13,nan,nan,nan
2.9734264411242973e-06,1.54405046763343e-06,1.546143519965891e-06,3.328070624074359,2.1357100159612195e-13,6383558.927820043,0.0008153396241112556,4.177704094688871e-09
4.322892684433312e-06,9.932887139647517e-06,1.4323437426026581e-06,3.405072635011578,3.273406329245249e-14,152923524.5331712,0.0030775976711525776,1.2821992690209249e-10
1.7621320833351604e-06,7.4324415683992585e-06,5.133236160407551e-07,3.5482054586364704,2.603542508471387e-13,30659723.725579973,0.005432193194298122,5.884650252411296e-10
1.3895452259164933e-06,5.15934030724341e-06,9.189074016947413e-07,3.3786548996661785,1.0199712108754141e-13,30398118.304224033,0.0018408821167443868,6.149691282429348e-10
1.8127224044229735e-06,8.143244826261044e-06,1.363878210030442e-06,3.040831355593136,4.979558368233739e-13,5133149.800356787,0.0012490397853297487,3.3745318421238436e-09
2.9808255522273414e-06,2.3472313330707325e-06,8.162446494427922e-07,3.4431634803476654,2.8049010664245e-13,12457076.814008484,0.002194584176312684,1.8335394825962114e-09
2.7773704041304144e-06,9.802061783352342e-06,7.721188961912324e-07,3.254541359919224,2.0869498123380436e-13,32906102.58152305,0.003859727147134361,6.244628406151916e-10
1.3438943025546264e-06,2.651431113723493e-06,1.9901998714606695e-06,3.182300905984022,2.1901231504262965e-13,4346531.00690909,0.00047873392633190014,4.772112092717385e-09
1.0314339538025307e-06,1.9810452819540865e-06,8.198631097459128e-07,3.520438248012972,7.276700906187344e-14,27602134.706657656,0.001275525449384585,7.103741556816294e-10
1.5117789592239814e-06,7.706435448882055e-06,8.392320814834698e-07,3.1991593442640944,3.907319445207941e-13,10044692.766377607,0.0021255704230679047,1.4320488065533465e-09
3.848552010331642e-06,8.168093255677654e-06,1.449543690709333e-06,3.276544546620184,2.771613583710428e-13,14605673.458218811,0.0021920940945942555,1.221981531749278e-09
5.456655015438419e-07,7.1412749046287e-06,1.978855433368247e-06,3.5140372983334753,1.6096917236010967e-13,5937560.539916725,0.0006518481747022529,3.3257106289425234e-09
1.4595646784092706e-06,9.822449923701825e-06,7.692686390137058e-07,3.5895929777395725,3.914850803529728e-13,13766393.53755334,0.003743837100500204,1.5558669878644645e-09
1.4700831081556671e-06,9.200623007653486e-06,1.405815707431999e-06,3.497657090466892,3.078662203163172e-13,9059768.268016146,0.0018254238126684044,1.7177828187173167e-09
4.911028989883449e-06,5.6599904182921414e-06,1.5776235456321412e-06,3.687690325551432,1.7326722722567178e-14,233666473.9296495,0.0029401604545594307,1.0301955708544361e-10
