W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
2.5789848348636416e-06,4.8388397847114616e-06,1.2742621244913177e-06,3.0955747523583046,3.3810417339668136e-13,7929191.724107678,0.0012876589941951215,2.472867830606456e-09
9.326129962473276e-07,1.4175786668062355e-06,1.0688089400811975e-06,2.8697987035121284,1.6804734836726753e-13,5527517.561117244,0.0003859777996449954,3.458496681960046e-09
4.619134768818228e-06,5.029534048696912e-06,5.707118065090928e-07,3.428153212093399,4.1988095715188685e-13,22058771.735171836,0.005617029898452754,1.1286062767978567e-09
9.250127746190816e-07,2.876039777520538e-06,1.43098699612571e-06,3.29851688735779,3.7403696783446495e-13,3181658.872204587,0.0006873611042657741,6.167744881585781e-09
2.800569410253515e-06,1.9796813098335386e-06,1.0535974583188815e-06,3.694333340949157,4.812644789342922e-13,5464998.072279535,0.001903875744255301,4.44722628023451e-09
3.2922906968031252e-06,7.805554452644278e-06,1.506717338768637e-06,3.234349885516652,1.0869919900948853e-13,31561639.073140953,0.0017974661650107429,6.243533595879618e-10
5.532028112502494e-07,9.696394795298465e-06,7.495519086448018e-07,3.55347801509443,4.658720093083251e-13,6193948.027908763,0.0020368053300150895,3.1896879558103943e-09
4.989308163289475e-06,1.3513269586042151e-06,7.64861059909591e-07,3.059602792228612,4.011649143001927e-13,6693740.728577087,0.0013508438231182502,4.420658591395638e-09
8.079216822193911e-07,7.77633045472714e-06,7.45561019372263e-07,3.635431778927204,2.9886729516761144e-13,11952679.043357983,0.002569926557657346,1.5555127326750232e-09
4.229800566026301e-06,7.5778444058953915e-06,1.3611166838612242e-06,3.6815459916589823,2.7722025600594185e-14,182858718.60829905,0.0036457363050969374,1.0628931163952541e-10
6.904538038124157e-07,4.244102709915736e-06,7.871880378326247e-07,3.1093998890323133,4.200580047707659e-13,4683347.719105091,0.0010069006215481725,3.3165833454312048e-09
3.6556050329518666e-06,7.639062459657037e-06,1.8103867586613778e-06,3.141676185567335,1.166156379399749e-13,24665120.58625449,0.001418068561415403,7.683384204383882e-10
4.627911104550068e-06,6.921805664952155e-06,1.075151455842692e-06,3.0537459715191586,2.0733407599291364e-13,23965637.583358258,0.002330646882365412,7.642238391726744e-10
3.57195463143444e-06,8.630054394166614e-06,1.347716018737485e-06,3.655597285893964,4.966407982049867e-13,10086875.427301481,0.00355158831996076,1.7870475188253089e-09
2.7229240732634922e-06,2.8097387293633515e-06,1.7992994415396564e-06,3.4470622057052354,1.6956533838295685e-14,99629171.18803632,0.0010674123162897683,2.2680137625757934e-10
1.7945637267292145e-06,2.135078743065715e-06,6.870671704267137e-07,3.224624214119184,1.9906664157372165e-13,14466529.509461818,0.001544122484947913,1.4252356847548349e-09
