W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
2.6619881205203207e-06,5.288055728629814e-06,9.670304322565943e-07,2.998816085827761,1.0936648418494571e-13,32697855.673698116,0.001613607557602167,5.876508961521556e-10
4.442690202987043e-06,2.302549558189201e-06,1.4216997431299403e-06,3.1120396728106785,4.823042847194604e-13,4168262.3688334064,0.0010451663986930993,6.632176503566705e-09
1.261149110576124e-06,7.771761810717085e-06,1.659148353848469e-06,3.139384399342786,3.4602286014470086e-13,4999475.853536574,0.0009048937474617096,3.05418357047367e-09
1.8512533827491012e-06,7.162519340374873e-06,1.262301821225657e-06,3.1988456974901305,2.298907998716032e-13,12374739.430626886,0.0015680271056508245,1.371249868547898e-09
1.2853196930498061e-06,4.512064001157243e-06,1.6562343148594853e-06,3.113631102951156,2.078689088984327e-13,6676605.053355038,0.0007036297362092158,2.6199426635172317e-09
1.401098828922564e-06,3.917521446349692e-06,1.799718362029505e-06,2.9673753300482146,1.8433109499827336e-13,6344283.134622781,0.0005094964248762042,2.6843139456016915e-09
4.376163338155721e-06,2.9363092774064164e-06,1.5959780749808387e-06,2.9842795744488626,2.3532951431522623e-13,8256442.03490395,0.0009240863788170948,3.080354283917409e-09
2.3828639820503354e-06,3.24294468031197e-06,1.4343063518201774e-06,3.098150421300834,4.3438410111866667e-13,4288916.557208808,0.0009037232662354564,4.73650452107508e-09
8.807023711005595e-07,3.841235880672662e-06,6.318181168365965e-07,3.2030000733721695,4.262972651285078e-13,6688801.644829777,0.001557733442706931,2.5845420652827608e-09
3.7220420300410615e-06,5.24705099868488e-06,6.532569564979571e-07,3.32943709269934,2.786354366385507e-13,25842358.41305232,0.004047229809200844,7.001778441788232e-10
2.546878797032279e-06,1.1149058452547884e-06,9.215733429183161e-07,2.9963994965706804,8.928259009675364e-14,16932762.44414238,0.0007224895246074796,1.6558491367681401e-09
5.881469945352659e-07,8.889612125561618e-06,1.1975352205772566e-06,2.9983267223294843,4.501891398367493e-13,3155089.4668739634,0.000744281110922917,6.214671039640087e-09
4.156814825071082e-06,4.709793123593506e-06,8.204441713683437e-07,3.2410591773198147,1.454520721442318e-13,37609145.30974182,0.003002577378267529,5.702287579640093e-10
8.693504267132518e-07,7.834439412728815e-06,5.247340829781184e-07,3.502109990778501,1.4647793437561813e-14,340591398.3707634,0.0033406812591149668,6.894237512004862e-11
2.762441045897982e-06,3.786776894547606e-06,1.3298135998526166e-06,3.4902688967459463,2.382447321401612e-13,11588488.823212016,0.0017112464458387071,1.8379933210263282e-09
1.043381344533752e-06,2.8888125685774283e-06,6.955430885858395e-07,3.7120889496134035,1.2987041025703908e-13,23658102.068915494,0.002154643899722625,7.457198718498333e-10
4.399333705593412e-06,4.0534765480415346e-06,9.042691846400505e-07,2.9232059075273553,2.2232644955695832e-13,18149098.32540253,0.0018026045088614738,1.145061352231621e-09
4.233745785861076e-06,2.1141592650865417e-06,5.21730121350504e-07,3.112432657951678,4.2883779573370836e-13,11894108.042222837,0.0026584980536527906,2.1369140262983814e-09
4.471918093895977e-06,4.719739824255953e-06,8.692197094682998e-07,3.731817716622807,1.4738977559554186e-13,44035202.28823105,0.004754813327013372,4.6338788927513863e-10
4.423473145751679e-06,8.420749811346619e-06,1.9912291932242274e-06,3.694629470554898,1.7900734336086952e-13,21124465.333025727,0.002589806203870696,8.681066370985765e-10
