W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
5.492817218593466e-07,6.1363858721822525e-06,6.382941053010092e-07,3.2732209293283088,4.60154976636057e-13,5598529.16853726,0.0014981983713895362,3.3679974626028055e-09
3.8739502574908395e-06,3.385549086537713e-06,9.211799856847475e-07,2.9712620569706982,2.00903619905125e-13,17235905.33712183,0.0016149120772013382,1.2415893803478863e-09
4.317959014474233e-06,3.814950074169409e-06,1.4947598456536765e-06,3.679348062716502,3.8700506271993075e-13,8364857.385395208,0.002299495447991506,2.8605375910797105e-09
6.380177971865043e-07,9.201317479675804e-06,5.565170697846883e-07,2.9120148439527758,2.540329471829169e-13,12365053.303616812,0.0014658542835900045,1.5857467538388654e-09
3.7209664561269807e-06,2.429840682397515e-06,5.924324418523811e-07,3.266754648718847,2.388659920794221e-13,20893829.692567788,0.0028580547613384515,1.1802701770197626e-09
2.2391210613170787e-06,9.072671732710722e-06,9.070302538763122e-07,3.4437480424918445,2.305137376433037e-13,23481175.71301819,0.003461233221480155,7.69955800655374e-10
3.028361442300086e-06,4.453696453810498e-06,1.374359161922052e-06,3.317856501106079,1.6154241617382698e-13,17558789.264956824,0.0015855966152315984,1.1068835253091448e-09
2.7554967158479225e-06,5.145462593182051e-06,1.047898938961318e-06,3.1597235266890746,1.5015312969194028e-13,23760963.87292533,0.0017787554374485465,7.375145133685908e-10
4.453282122463361e-06,1.158279345860908e-06,1.325589578238117e-06,3.6895727329348342,1.6997733318503796e-13,10390102.704546882,0.001302804282900043,3.0207721175653982e-09
2.158505720683245e-06,8.781186950163898e-06,1.4010683136578356e-06,3.505249331208932,4.563407284045514e-13,7599792.523798712,0.0022732598185928863,2.8654254135816765e-09
2.5867433821172245e-06,5.847509875341244e-06,1.7494868026859194e-06,3.2579231681491807,2.889264817759182e-13,7982952.987154751,0.0012389775766053811,2.2391926686999336e-09
1.8259205640040673e-06,9.843309932056758e-06,1.465336037517347e-06,3.7407622687216273,1.1121346200279386e-13,nan,nan,nan
2.74133358517813e-06,1.8723817601045698e-06,1.2300350330091526e-06,2.8882264547694922,3.7251436172926607e-13,4085055.61327408,0.0006777394293512589,5.859185093278427e-09
3.465036644340542e-06,4.057973821156013e-06,1.4721851548514123e-06,3.6434117746257106,1.3349750212656241e-13,22808540.68126577,0.0021126301743701692,9.237938214309321e-10
2.8839488029854778e-06,9.22838847490245e-06,1.8946782178454667e-06,3.655108888571669,2.871337138504701e-13,11391901.660157727,0.0023478574307921178,1.3926486470358803e-09
1.277956821041186e-06,1.085026048977792e-06,8.360093452846025e-07,3.1317154550154918,2.796567889800304e-13,4783362.0096480325,0.0006867889914439366,4.8023191142689646e-09
3.884655755146224e-06,9.96560627915832e-06,1.2042709350299233e-06,3.5495799343254553,4.894155242170542e-13,12311731.375871826,0.004035224757795585,1.4552118063042745e-09
4.5632310799631e-06,9.995989508886758e-06,5.086400001040787e-07,3.200884409905353,2.0422573363037283e-13,65729424.41378021,0.006838906089281125,2.8046100476633834e-10
3.543912452058013e-06,7.5943390850323606e-06,1.4751753161564107e-06,2.950424524084958,2.6304996305523353e-13,12043770.886648009,0.001367795142204898,1.4767911783775056e-09
3.6563340056924143e-06,2.204825752675306e-06,1.3371390150281251e-06,3.334361006508054,2.8495215752451624e-13,7480069.9486553,0.0012748805273121002,3.12271368811097e-09
3.6418508635081566e-06,7.317575473729871e-06,1.8796854812110134e-06,3.0706625624739123,1.8563403965895167e-13,14105454.833653698,0.0012216131720292221,1.2566955732055403e-09
4.962224624351082e-06,5.1504072644146285e-06,1.906829168436095e-06,3.197241041865014,6.237874261556565e-14,42035519.61928313,0.0014218665303457826,5.5662135975649e-10
3.3284257220157176e-06,4.57220544266064e-06,1.1670080587077297e-06,3.574623016063151,1.5267999335716578e-13,25692182.95992792,0.0025672522092882798,8.721029156125816e-10
2.743554634116632e-06,7.783704992850103e-06,1.695363434281043e-06,3.068301883010496,4.1083034748759334e-14,62083503.65828509,0.0012515612547906612,3.1583016392208393e-10
3.327647771945045e-06,3.4142275998559015e-06,1.8553378114983674e-06,3.200623074763657,2.885678203743792e-14,62323115.41848767,0.0009760467588564384,3.6008937262137716e-10
8.055585699907434e-07,8.005464096076382e-06,1.1392013521644234e-06,2.92403332540213,3.188843325604679e-13,5409950.537285709,0.000793802077835169,3.4087313544670405e-09
2.8199156799877083e-06,5.475418370071454e-06,1.5027595213442815e-06,3.6183610707872265,3.7517729145173216e-13,8376643.027268143,0.002117201984204259,2.3535387689010275e-09
9.761386510356766e-07,9.930843035491334e-06,1.146718629050379e-06,3.2537552636282063,1.970293565001276e-13,12395437.040453175,0.0013907867518350061,1.5109679630760165e-09
4.861498675776818e-06,1.6177126526021019e-06,1.282564642459668e-06,2.920866327984319,4.461713092320883e-13,3741935.9779962357,0.0007643687137209222,7.809504737655916e-09
3.28544740433735e-06,8.50156582412124e-06,1.880780382612496e-06,2.993544896731389,1.379994501805575e-13,18502009.444153268,0.0011292140334608946,8.780812049833156e-10
6.562038944089823e-07,8.10724220090619e-06,8.089529754763667e-07,2.8552501018675143,2.0999693653051142e-13,9774480.40591495,0.0008983945566354529,1.9842618981005837e-09
2.164979601636726e-06,7.582558405433063e-06,1.1173270565617721e-06,3.0522777115431317,4.606565319935098e-13,7318117.742604852,0.0016728695219700657,2.1657093427412653e-09
3.981523772482953e-06,8.320361971460235e-06,7.714729200276833e-07,2.9328551860728376,2.34234963329281e-13,28419666.856081877,0.0028182566027389034,6.243788595873661e-10
4.281503266071116e-06,5.976504316267713e-06,1.0957611650533205e-06,3.3235330681864084,1.9033337798311034e-13,25752879.235216983,0.002747435391788932,8.108557435236648e-10
4.241591571341642e-06,2.356856659966974e-06,1.8754507684876913e-06,3.6675083258461716,3.685722472326883e-13,5191674.359904435,0.0013904796943815072,4.7894933432607825e-09
2.4593809590753323e-06,7.166004642279323e-06,7.644152443431882e-07,3.19361675018503,4.1613838759209105e-13,13222886.32933016,0.0029669542875681485,1.3934235143357338e-09
2.5027038906052204e-06,6.899129580450535e-06,1.6502584501750567e-06,3.6015587025133726,3.810610012871307e-13,7840052.220141405,0.0020639611506323655,2.447634119356755e-09
3.156599928374565e-06,4.182056190499482e-06,1.6902341120120317e-06,3.076941263307826,2.0126474472559158e-13,10147982.201907208,0.0009846185120034091,2.1042753389496523e-09
2.1308157284147292e-06,3.865302111601082e-06,1.7658960888091821e-06,3.1550771345884696,1.9512861622179706e-13,8256608.270641711,0.0007983870504837074,2.4576784024240607e-09
2.181289100757821e-06,7.909657602029364e-06,1.404308808686913e-06,3.657905440688087,3.345481597444201e-13,10551905.256853275,0.002549388053381574,1.966191760541153e-09
2.6435277887447124e-06,7.413362389375047e-06,1.7524992289172328e-06,2.9343199005857534,2.890833071741815e-13,7758821.028997717,0.0009780680392738454,2.4662035860344474e-09
2.3036158974337226e-06,8.80619320430778e-06,7.965847826753783e-07,3.662316263968388,2.694871818884551e-13,24991417.46889451,0.004881916504885652,8.631883661917649e-10
4.580975915830674e-06,6.209829812700665e-06,1.9348782662464125e-06,3.554584164107994,2.5311738070442462e-14,126226078.27536906,0.002149743057475875,1.7181310314357895e-10
3.4822089590228943e-06,9.918745257621886e-06,5.00536143652634e-07,3.4805731832559634,1.472993353029578e-13,89769376.53899388,0.00813096675598476,2.211951229698131e-10
