W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
1.5935679482953634e-06,6.847597092040122e-06,1.5828846732902252e-06,3.5444798714798025,2.016687662279588e-13,11672430.743448228,0.0015985796015505307,1.5581978369742124e-09
2.5311420063736588e-06,5.4276453112020835e-06,1.5772095670435493e-06,3.507249043188126,1.9406775037824923e-13,13909077.243985701,0.0016701859035477768,1.3087169331638672e-09
4.361091877057052e-06,5.744037618597697e-06,1.0436063804353092e-06,3.7481742405088387,1.886730997722822e-14,316315712.7985057,0.004481797372800632,6.816815503152213e-11
4.0303145199226484e-06,3.540023965552831e-06,1.5933906363259541e-06,3.5605092267043084,2.8331581428214175e-13,9529107.269981137,0.0018016538217027782,2.5200140404853657e-09
5.276715471203982e-07,8.270941304181322e-06,1.2889662134735308e-06,3.3710944225679658,3.241571085819338e-14,43995611.63355736,0.0009184163114473059,4.794372143190135e-10
4.4993596342747686e-06,2.8421771816240157e-06,1.5621470752216503e-06,3.2329517089116893,3.707920969427608e-13,5964854.39379713,0.001232022865270265,4.25621837241964e-09
2.1113738421259504e-06,7.0698285401794975e-06,1.3528543254499983e-06,3.5925301270006624,4.538793937011434e-13,7366929.2244086955,0.0023242693679847498,2.2078701419821183e-09
4.959843606999802e-06,8.365798048806606e-06,1.4872911582932623e-06,3.277699945065904,3.509133142297458e-13,12915046.281633615,0.00245893744444384,1.4716162607204055e-09
5.949869469426414e-07,1.9625444526467013e-06,1.3891762912186135e-06,3.566957122701452,2.1333671434048989e-13,4226178.758887384,0.0006122032048535664,3.888129411107024e-09
4.807299666095601e-06,1.944262592300684e-06,1.373696855469235e-06,3.0719406236814324,2.5384748980387086e-13,7435507.543390837,0.0009570389526610478,3.786537004177508e-09
2.215059930641957e-06,6.056364371785376e-06,1.9214969445220993e-06,3.361105052106943,3.986785971269148e-13,5159518.0913927825,0.001227281671799967,2.9415221734138632e-09
2.446035620620344e-06,4.97144763127635e-06,6.630464546221882e-07,3.3884938971999174,4.297465845862197e-14,133524144.55603932,0.003437823119786104,1.6632575160833697e-10
4.0057501065283045e-06,8.291496378449346e-06,1.442192991949449e-06,3.0838239465865818,3.140766143462456e-13,12224944.269319309,0.0018329843653419977,1.4158632202040522e-09
4.844962141124054e-06,7.425564792778442e-06,8.209292627338146e-07,3.0983501752116527,2.517330555115976e-13,27985717.71108226,0.0033959273213166616,6.646701122780358e-10
3.4454939106995277e-06,2.1316358910837753e-06,1.535783606341592e-06,3.3851949361507225,3.8893750994772815e-13,4662761.831114678,0.0011103238926322377,5.403706586208718e-09
4.846302420272041e-06,5.037419968300217e-06,1.9764151776887192e-06,3.490485792826362,9.10585783677157e-14,30702181.82135053,0.0018053731309849714,8.353993453820637e-10
5.307851564016185e-07,7.699516347018684e-06,1.344948111081528e-06,3.488897496317109,1.5538813691113812e-13,9032715.0293051,0.0009649066344929302,2.170758523172728e-09
4.019202341337192e-06,4.283226280741843e-06,1.6818758716619048e-06,3.3096422119457967,2.24245330541127e-13,11463989.11750795,0.0014639527896021171,1.96328144831817e-09
7.375111949449957e-07,9.018414792788644e-06,7.303982333495175e-07,3.399229572975842,2.9652769059693324e-13,11000439.71605026,0.0020841471501815267,1.7824599419098817e-09
3.891606608160413e-06,5.1329674215678595e-06,8.131272142206073e-07,2.9667127704021192,1.1246959381131926e-13,43910964.02504414,0.0022724187566503773,4.465363849918683e-10
4.361671840123685e-06,2.500885061851936e-06,1.3397360555575528e-06,3.034633261987049,3.810316258116595e-13,5640714.939898054,0.0010625147262790873,4.415963465001397e-09
4.565092220266042e-06,2.2396030239252045e-06,6.27753512942943e-07,2.850364268395861,1.8979050514141293e-14,209118111.2113607,0.0017022549189904903,1.1446244456831147e-10
3.2538038898642723e-06,4.986813908685428e-06,1.2683600166633261e-06,3.6095283049411604,3.468688982972432e-13,10925724.960964622,0.0025193419199188915,1.6994630503218895e-09
4.483000458861827e-06,6.198941200323444e-06,1.8672844595452444e-06,3.0425038157439883,9.348947253608264e-14,28240705.0412804,0.0012640654850674632,7.194675371205272e-10
1.91182017471799e-06,3.5842001620447147e-06,1.8133650877930803e-06,3.6604887509133364,2.1573443557290335e-13,8153527.746374898,0.0011955643109134303,2.512672041728435e-09
3.456899615112893e-06,6.277075429502849e-06,1.1562775671329887e-06,2.851411703696623,2.2001345316289785e-13,15647382.240433937,0.001394418904359882,1.0750956396904539e-09
2.6803129873760227e-06,6.491639224865583e-06,1.2039267311714788e-06,3.1475362599302135,1.5722016657669967e-13,21724578.21388075,0.0016668372511982803,7.726130187207272e-10
3.7806862021343845e-06,9.613856171114246e-06,7.404444913613312e-07,3.3773870562690558,4.557329699786026e-13,19469678.80601818,0.005303433392046161,9.302388763093297e-10
