W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
2.6478046579582523e-06,4.41593965836213e-06,1.9166542692255833e-06,3.527756544662222,4.600972690440608e-14,44715863.33619731,0.001343967488009619,4.558773097772515e-10
4.343114632042408e-06,3.92490537010123e-06,1.8598531194097535e-06,3.1594458468216606,3.9872388495300943e-13,5374581.634661199,0.0011133119878123771,4.296373913786427e-09
2.4947928540716217e-06,5.430871518944405e-06,8.783005654809779e-07,3.709431281075147,5.191141159147668e-14,99694818.96799946,0.003690301242088276,2.1676165469058608e-10
4.944821124952515e-06,3.647708219681017e-06,9.60453469106985e-07,3.367110061475258,4.843681837034347e-13,9487717.901748398,0.002746928654657735,2.5712233220972933e-09
4.987675375425278e-06,1.3424860150376424e-06,1.968716786445715e-06,3.010448158888758,1.0892596791161232e-13,9307601.111289585,0.0004899737815632853,3.1267015856198386e-09
2.7003341785413497e-06,6.274851419002683e-06,1.580217663381884e-06,3.300865636102719,3.1787856037551497e-13,8659498.405153008,0.0015273968272448298,2.055585370777746e-09
8.92871923392728e-07,4.078013264097656e-06,8.044946545813607e-07,3.714037008778115,4.707100203807863e-13,6034436.3224476,0.002084130440030033,2.35474930287901e-09
4.507307901775832e-06,5.427055613945738e-06,1.2026839723388278e-06,3.157700530903493,1.3806551955244224e-13,29213485.633687228,0.0020887818267725576,7.510922302486955e-10
2.3198366354961854e-06,8.211485968229345e-06,8.809116591993873e-07,3.023594654919916,1.6239294690060762e-13,27856095.269220263,0.0021217262290049903,6.133582344486698e-10
3.0852521046148225e-06,6.597941089674423e-06,1.930668041463789e-06,3.6608564372392483,2.4391191629271647e-13,11680088.568078328,0.0019443118463102738,1.5253609315460742e-09
2.6906445463478723e-06,3.2100676021489126e-06,1.9448711384816284e-06,2.875983691082917,1.5650814660762139e-13,8271165.24558759,0.0005551743010420626,2.5659813905989024e-09
2.6881551650758406e-06,5.092445037326218e-06,5.762583794695229e-07,3.7479367455617316,4.935141926713888e-13,16415461.717708593,0.005887278918625738,1.1782141168664537e-09
8.149549638631115e-07,6.807659032448135e-06,1.7807678200599705e-06,2.95062133832054,3.5594401495336114e-13,2988772.01439064,0.0004956940654877603,5.489043503832827e-09
8.456846462239985e-07,1.1028707821134355e-06,8.790309717501851e-07,3.6447074191556217,2.134902793080448e-13,6186755.155328688,0.0008986801717388584,3.3901849466642563e-09
1.2443053168481658e-06,4.563979033074025e-06,1.6240398301959927e-06,3.460057198645318,8.493385616688353e-14,19010942.4827018,0.00100369422739474,1.009330526885554e-09
1.9469616576519938e-06,9.182163230975509e-06,1.2191656663836408e-06,3.6725294654498732,3.441997652202471e-14,117049622.01982653,0.00291789989041456,1.609064213404199e-10
4.312209654971729e-06,2.7966179083016477e-06,1.8088623218741543e-06,2.9601124899006197,1.138747445146314e-13,14362918.82804389,0.0007654103254338664,1.6177437601156697e-09
4.914178544903785e-06,3.8299018181463385e-06,1.4224120562251014e-06,3.343724142523394,3.4850870753140216e-14,90391481.07244414,0.0018709719009267073,2.836302515774002e-10
3.1209309653852353e-06,9.614614328744814e-06,6.855885328408934e-07,3.67958153785264,1.5720203749906808e-13,61626136.43917666,0.006831049243414924,2.832635900401114e-10
2.5419965647823253e-06,3.7515732545127586e-06,9.258262180364348e-07,3.1243053516598396,4.3561253450274685e-13,7469191.586147725,0.0016042833807693685,2.7854925882205408e-09
2.9776761510570645e-06,1.3112681093055477e-06,1.9383142419564764e-06,3.698362639013231,2.483407275290815e-13,4587670.8188475985,0.000844865800375409,6.135793149322763e-09
2.39676857302952e-06,2.066441134171074e-06,7.934267478533943e-07,3.2234658387930395,4.5371337170316436e-13,6111454.7161549125,0.0015121542166129868,3.763206409369235e-09
3.835473181743847e-06,9.16038890950625e-06,1.7324343593052892e-06,3.5202539936451154,1.1075352474895101e-13,35479617.18306212,0.00244728236047465,5.561410221174898e-10
4.648135580530748e-06,5.444909055458567e-06,8.681365524500573e-07,3.1021462906376716,3.1321571194054596e-13,17681725.931092326,0.002733463629735465,1.106992880142918e-09
1.3007554406579456e-06,6.189984810868734e-06,7.958667177331296e-07,3.351815264947076,4.561057524517522e-13,8102550.305767731,0.0021981620295005704,2.2497778794876453e-09
3.274867773529805e-06,6.754081589316574e-06,8.408688954348092e-07,3.4628679762725567,4.716081878553453e-13,13431332.829247322,0.00392849555250385,1.47531206255002e-09
4.435506947289488e-06,9.563089019124074e-06,1.5107034017732476e-06,3.2500102094097865,4.177254844922532e-13,10691039.329713382,0.0024148600502587702,1.581980577451557e-09
3.7278058076677446e-06,6.0605613389084735e-06,1.202579860618921e-06,3.114017093091851,4.0516630582278677e-14,94459222.93220346,0.0019460810745335854,2.2503446649141278e-10
3.629526211036216e-06,4.4848950896279906e-06,1.8619867789269474e-06,2.883853546571003,2.3960979426391414e-13,7816041.528917433,0.0007882095287133437,2.882503527587134e-09
4.86234799324836e-06,3.962841312999859e-06,1.0619600755849468e-06,3.287383787259568,1.1312195619395662e-13,36957688.69269992,0.0024284451226478285,6.194040247436557e-10
3.852977290460593e-06,3.7322592396167144e-06,1.7298806488414335e-06,3.1425075987321165,4.733651377593501e-13,4460554.8685319945,0.0010797202676190827,5.282258554523238e-09
1.5840267443902552e-06,6.670569022133794e-06,1.3155150234856924e-06,3.390094805392357,1.641986817465421e-13,15989568.351958852,0.0016273360554561612,1.1230442670911177e-09
8.594517045684696e-07,8.385242404059218e-06,1.0927322019260177e-06,2.992985484162221,2.020357483654138e-14,96397734.5738661,0.0009551641675085507,2.3091478747028153e-10
2.6109257423684672e-06,8.808530500142924e-06,1.2371248760669385e-06,3.282438670674124,3.038416655803093e-13,13171589.768624423,0.0023045083589778546,1.2095009429017592e-09
3.692135964785493e-06,6.46845235544421e-06,1.253717141149536e-06,2.938244053679773,3.498349126267398e-13,9979460.20097165,0.001500678646449593,1.6508404240797452e-09
3.9896536501674935e-06,5.758865265058811e-06,6.81466794580513e-07,3.4776363798943453,3.0018504664677754e-13,26517630.64264704,0.0048910525575511865,6.94690922274521e-10
4.696586460564601e-06,2.242110838057784e-06,6.898951672293853e-07,3.1991278237909135,1.511340733226971e-13,28642195.64776236,0.002379404821012417,9.229305442273228e-10
2.507254559024544e-06,2.836597516447862e-06,6.359773220399738e-07,3.2512928091721576,4.1374331223123876e-13,10343945.761763612,0.0023223071037566435,2.140841527367661e-09
1.8836730641395821e-06,5.0933998685717305e-06,1.7938999527517105e-06,3.404770412572806,4.791316796475673e-13,3960863.6038697623,0.0011670652871304445,4.656966559124327e-09
3.5226682798978956e-06,2.1313572272402257e-06,1.2447954443850708e-06,3.1301187008655313,3.8213106507088877e-13,5286335.686824002,0.0010568740321233888,4.747873789189226e-09
8.631549850576187e-07,6.6283534099095675e-06,1.9047268340482261e-06,3.187436207935155,1.165886914985992e-13,9810718.588500232,0.000629580671751203,1.7547051471315752e-09
3.321422887246965e-06,3.925448879808072e-06,8.68386587673276e-07,3.4800683506061336,1.4975432705913148e-14,311071708.19860697,0.003003198085369424,7.824810212420356e-11
1.5856270929815063e-06,4.628898333407766e-06,1.9751788064688473e-06,3.593200568516849,3.367347600366757e-13,4808506.745441496,0.0011205843517231575,3.24380618185449e-09
2.900088073589332e-06,1.680367860464451e-06,5.154613371243727e-07,3.2978150209434496,4.916929968103828e-14,85688031.0966143,0.0024380335970356094,3.1213390454745296e-10
