Repetion,Time (min),MSE
0,0.09453149239222208,0.024158045649528503
1,0.08096419970194499,0.03520302474498749
2,0.08912137746810914,0.024029405787587166
3,0.0823030432065328,0.011321337893605232
4,0.09001410802205403,0.027793318033218384
Mean,0.08738684415817262,0.024501026421785355
Std,0.005060682039588103,0.00773842624436152
