Repetion,Time (min),MSE
0,0.15853672822316486,0.02266736514866352
1,0.1736854036649068,0.02738366276025772
2,0.09274545113245646,0.009342536330223083
3,0.0836654504140218,0.017951473593711853
4,0.09150774478912353,0.011887636967003345
Mean,0.12002815564473471,0.017846534959971905
Std,0.038057894213157285,0.006663852946898074
