Repetion, Time(min), MSE
0, 0.08422971566518148, 0.02835656702518463
1, 0.0914414405822754, 0.027130352333188057
2, 0.08334504763285319, 0.031445447355508804
3, 0.09206718603769938, 0.020880263298749924
4, 0.0862914244333903, 0.018286021426320076
Mean, 0.08747496287027996, 0.025219730287790298
Std, 0.0036279484996693304, 0.004881742857818506
