Repetion,Time (min),MSE
0,0.09283658266067504,0.03236158564686775
1,0.08366194963455201,0.037439703941345215
2,0.11319237947463989,0.029521005228161812
3,0.08271668354670207,0.06082720682024956
4,0.09244445562362671,0.045734308660030365
Mean,0.09297041018803916,0.04117676205933094
Std,0.010963657489635677,0.011264464622758217
