Repetion, Time(min), MSE
0, 0.0824274222056071, 0.06802737712860107
1, 0.08637642463048299, 0.07371710240840912
2, 0.10280385017395019, 0.07700387388467789
3, 0.10070126056671143, 0.06953757256269455
4, 0.08863459825515747, 0.07548821717500687
Mean, 0.09218871116638183, 0.0727548286318779
Std, 0.008085070549845762, 0.0034395146064403297
