Repetion, Time(min), MSE
0, 0.10200614929199218, 0.05415056645870209
1, 0.08777689536412557, 0.05484919250011444
2, 0.082930060227712, 0.06186063960194588
3, 0.08261768420537313, 0.05673455446958542
4, 0.08540929555892944, 0.05955921858549118
Mean, 0.08814801692962647, 0.0574308343231678
Std, 0.007176319540259364, 0.0029004493367644052
