Repetion,Time (min),MSE
0,0.12359015146891277,0.06283990293741226
1,0.10309540430704753,0.0517190657556057
2,0.10653274854024251,0.06958742439746857
3,0.08850151697794596,0.05382626876235008
4,0.08350785573323567,0.05291846767067909
Mean,0.1010455354054769,0.05817822590470314
Std,0.014195025822759746,0.006931469980971694
