iter,Tiempo (min),mse
0,1.104064659277598,0.024734092876315117
1,1.1029693563779195,0.02981017902493477
2,1.0946405053138732,0.02837182953953743
3,1.1438353419303895,0.032150641083717346
4,1.1193472584088644,0.025267688557505608
5,1.125835164388021,0.025230228900909424
6,1.1228815038998923,0.02252473495900631
7,1.091905128955841,0.03911064192652702
8,1.1166184902191163,0.02969580702483654
9,1.0994390368461608,0.04469435662031174
10,1.1101887146631877,0.027377063408493996
11,1.1101276755332947,0.025753390043973923
12,1.098784879843394,0.03091750107705593
13,1.0943702856699626,0.02776082418859005
14,1.0877857327461242,0.02685653418302536
15,1.1044268329938254,0.03896475210785866
16,1.1148746569951375,0.024662377312779427
17,1.0709262132644652,0.032703325152397156
18,1.116182792186737,0.030144961550831795
19,1.0891538222630819,0.024433216080069542
20,1.102257219950358,0.03144274652004242
Promedio,1.1057435843679637,0.02964794724470093
Desviación Estándar,0.015506803539062027,0.005444052795407757
