iter,Tiempo (min),mse
0,0.8363208572069804,0.004742112010717392
1,0.8687618811925252,0.019539209082722664
2,0.8639073689778646,0.011456210166215897
3,0.9446401278177897,0.005397215951234102
4,1.0420987645785014,0.018708745017647743
5,1.0952203631401063,0.019887283444404602
6,1.0960214575131735,0.022055700421333313
7,1.0984911680221559,0.009524093940854073
8,1.0805818955103557,0.0149459820240736
9,1.105668052037557,0.016719838604331017
10,1.114780100186666,0.013318782672286034
11,1.1202194889386494,0.011573121882975101
12,1.1228702704111735,0.018714947625994682
13,1.1069707194964091,0.015949372202157974
14,1.1408532937367757,0.01650874875485897
15,1.1326887448628744,0.011367994360625744
16,1.1266969919204712,0.011424720287322998
17,1.1328895092010498,0.01443636603653431
18,1.1280177553494772,0.018046241253614426
19,1.1181238691012065,0.01984144002199173
20,1.1222642024358114,0.007344180252403021
Promedio,1.0665755657922655,0.01435725266734759
Desviación Estándar,0.09525802064751855,0.004837676841551669
