iter,Tiempo (min),mse
0,0.8507755279541016,0.01969088427722454
1,0.9046666900316874,0.0162366796284914
2,0.95545627673467,0.028434937819838524
3,1.0557363390922547,0.020732197910547256
4,1.2529263496398926,0.015322848223149776
5,1.1292194684346517,0.01834707334637642
6,1.1457571705182394,0.012285474687814713
7,1.1592489719390868,0.024766214191913605
8,1.1191630283991496,0.012732623144984245
9,1.1023843248685201,0.024345850571990013
10,1.110076661904653,0.012408183887600899
11,1.1044750531514487,0.01758388802409172
12,1.1329306721687318,0.015641743317246437
13,1.1082679549853007,0.008776954375207424
14,1.117311426003774,0.01843518763780594
15,1.1340044299761454,0.021418530493974686
16,1.1311808943748474,0.020026816055178642
17,1.0921313842137654,0.01924595609307289
18,1.1088820099830627,0.02682851254940033
19,1.1106325070063272,0.019287103787064552
20,1.157197940349579,0.009080923162400723
Promedio,1.09440119436809,0.018172789675494034
Desviación Estándar,0.08726183365185272,0.005228981534834729
