Mean,Std,Min,Max
1.4280617237091064,0.2454730732831054,1.1238226890563965,1.7142268419265747
0.4697334408760071,0.02619390321361713,0.4383584856986999,0.5042660236358643
0.22262668907642363,0.02774747615005056,0.1835367083549499,0.2542560398578644
0.1277125015854835,0.02341478818494535,0.0946283414959907,0.1531814783811569
0.08475984856486315,0.017844607489407725,0.0600079037249088,0.1057367175817489
0.06340103447437281,0.01364172616834045,0.0450853444635868,0.0815088897943496
0.05196412578225133,0.010996536731310855,0.0378882735967636,0.0682123601436615
0.04538466632366178,0.009498922724083701,0.0339602008461952,0.0603559277951717
0.04132181555032724,0.00869536078654597,0.0315204225480556,0.0553398542106151
0.038614274933934156,0.008265333496100015,0.0298228878527879,0.0518678277730941
0.03667488694190974,0.008024442647520315,0.0285366587340831,0.0492759197950363
0.03518901430070394,0.007880184943945538,0.0275034271180629,0.0472161993384361
0.03398299738764758,0.007789151218802652,0.0266401804983615,0.0455013290047645
0.032962130755186045,0.007729162714282943,0.0258988533169031,0.0440265573561191
0.03207147456705566,0.007687996021283491,0.0252489354461431,0.0427298583090305
0.03127775900065894,0.007657466776385984,0.0241443663835525,0.0415715649724006
0.03056124784052368,0.007629375303664683,0.0231662299484014,0.0405239090323448
0.029904642701148936,0.007603575372574651,0.0222929734736681,0.0395655967295169
0.029297664761543225,0.007576045063141831,0.0215140786021947,0.0386792458593845
0.028731065988540604,0.007542117876313029,0.0208210796117782,0.0378499440848827
