Repetion,Time (min),MSE
0,0.09652934869130453,0.01374953892081976
1,0.08750915924708048,0.011718044988811016
2,0.08803849617640178,0.01711970753967762
3,0.09607986609141032,0.011615736410021782
4,0.08974351088205973,0.019358186051249504
Mean,0.09158007621765137,0.014712242782115937
Std,0.0039301789610194805,0.0030614064180149413
