Repetion,Time (min),MSE
0,0.08499343395233154,0.033089447766542435
1,0.08030061721801758,0.02724091336131096
2,0.08951252698898315,0.01809951476752758
3,0.08056700229644775,0.037484318017959595
4,0.09386500517527262,0.022909803315997124
Mean,0.08584771712621053,0.027764799445867537
Std,0.005236292681618031,0.006929416901530897
