Repetion, Time(min), MSE
0, 0.1533809463183085, 0.026210730895400047
1, 0.1815410574277242, 0.014043087139725685
2, 0.08923232555389404, 0.027084186673164368
3, 0.0833661437034607, 0.013704084791243076
4, 0.08108052412668863, 0.02409682422876358
Mean, 0.11772019942601522, 0.021027782745659352
Std, 0.041662973233730825, 0.005922575792948259
