Repetion, Time(min), MSE
0, 0.0859217087427775, 0.05056941136717796
1, 0.08911606868108114, 0.05619749054312706
2, 0.09266228675842285, 0.05054142698645592
3, 0.09308086236317953, 0.059117354452610016
4, 0.09720118443171183, 0.04080762714147568
Mean, 0.09159642219543457, 0.051446662098169324
Std, 0.0038238074200822665, 0.006263991959958881
