Repetion, Time(min), MSE
0, 0.10546621481577555, 0.06426721066236496
1, 0.1054975668589274, 0.06100332364439964
2, 0.104444686571757, 0.06512130796909332
3, 0.10323086977005005, 0.06316908448934555
4, 0.10466864109039306, 0.05137413740158081
Mean, 0.10466159582138061, 0.060987012833356856
Std, 0.0008294981126080806, 0.005000423399834724
