run_id,target,method,n_samples,mse_norm,mae_norm,mse_orig,mae_orig,train_time,test_time,gpu_samples,gpu_mem_used_mb_mean,gpu_mem_used_mb_var,torch_peak_alloc_mb,torch_peak_reserved_mb,ram_samples,ram_used_mb_mean,ram_used_mb_var,timestamp
0,f_osc,uniform,100,0.3202022910118103,0.36490386724472046,2171449162858496.0,14147801.0,280.5408079624176,0.7189745903015137,562,3629.243104982206,26.366180773824453,34.11328125,54.0,562,2632.384612711299,2179.80424129311,2026-05-31 20:59:47
0,f_osc,kdtree,100,0.15532612800598145,0.24377620220184326,1511579916959744.0,10402404.0,58.07046675682068,2.4907429218292236,117,3625.778311965812,0.06720724701881409,27.1640625,48.0,117,2772.643563034188,36.267673826776445,2026-05-31 21:00:48
0,f_osc,uniform,500,0.04012788459658623,0.11269259452819824,880850950422528.0,6422026.5,285.70881605148315,0.581794261932373,572,3667.790646853147,6.146266320720315,73.3896484375,90.0,572,2909.7276756446677,0.007100474089384079,2026-05-31 21:10:24
0,f_osc,kdtree,500,0.05622678995132446,0.13504499197006226,910062902050816.0,7222687.0,144.71970462799072,2.375537157058716,291,3631.9100085910654,0.10920985788106918,39.14599609375,54.0,291,3015.522457581615,6.025261564180255,2026-05-31 21:12:51
0,f_osc,uniform,1000,0.006868176162242889,0.038792259991168976,589381517705216.0,3069647.5,280.9264705181122,0.5927810668945312,563,3723.6106793960926,29.960683850571513,137.052734375,146.0,563,3240.131070992451,0.010378500446677208,2026-05-31 21:27:29
0,f_osc,kdtree,1000,0.08920573443174362,0.17420406639575958,1381063242809344.0,9034499.0,270.0441493988037,2.360546827316284,541,3663.90053142329,0.3683190941810608,56.796875,86.0,541,3352.720742837338,1.833480842411518,2026-05-31 21:32:01
1,f_osc,uniform,100,0.28447824716567993,0.3617355525493622,3175731567788032.0,16553583.0,283.97965598106384,0.5989398956298828,569,3663.9093804920913,0.22416535764932632,58.275390625,86.0,569,3366.82327822935,0.0031680334359407425,2026-05-31 21:37:44
1,f_osc,kdtree,100,0.12124892324209213,0.2286231368780136,1129876241252352.0,8899183.0,60.798396825790405,2.600675106048584,123,3661.9375,0.0,50.69677734375,84.0,123,3411.375349339431,6.87885514087975,2026-05-31 21:38:48
1,f_osc,uniform,500,0.04362842068076134,0.11328709125518799,1663458550480896.0,6824673.5,277.7787415981293,0.6089215278625488,556,3701.856115107914,5.734692821279168,98.18212890625,124.0,556,3461.06221897482,0.0002459827810525894,2026-05-31 21:48:26
1,f_osc,kdtree,500,0.04318397119641304,0.12402257323265076,767754932060160.0,6488362.0,162.41135454177856,2.37325382232666,326,3663.98773006135,0.024389324709773064,62.888671875,86.0,326,3568.6869727760736,11.920718235895038,2026-05-31 21:51:10
1,f_osc,uniform,1000,0.007998433895409107,0.0438847616314888,272730540736512.0,2573228.5,290.6366045475006,0.6200120449066162,582,3757.676975945017,30.259916629642248,160.1826171875,180.0,582,3790.312526847079,0.028939107432961464,2026-05-31 22:05:56
1,f_osc,kdtree,1000,0.08026494830846786,0.16662152111530304,1069649995235328.0,8165491.0,281.0783393383026,2.4051125049591064,563,3695.9644760213146,0.3539778310805559,80.5458984375,118.0,563,3903.2962644316162,3.310201920568943,2026-05-31 22:10:40
2,f_osc,uniform,100,0.32135313749313354,0.3565586507320404,2322689591083008.0,14289958.0,288.7407672405243,0.5994172096252441,578,3695.9723183391,0.22068701311945915,81.8515625,118.0,578,3903.758988429931,0.04763570986688137,2026-05-31 22:16:20
2,f_osc,kdtree,100,0.16905982792377472,0.2377452254295349,1943090717786112.0,11641070.0,51.27611589431763,2.4530699253082275,104,3692.0,0.0,74.4033203125,114.0,104,3949.4649939903848,0.6692258156836033,2026-05-31 22:17:14
2,f_osc,uniform,500,0.04388172924518585,0.1185867190361023,921195658608640.0,6553213.5,280.5424745082855,0.6213815212249756,562,3731.8576512455516,5.673687011003494,121.67626953125,154.0,562,4009.9620635008896,0.0316334068775177,2026-05-31 22:26:57
2,f_osc,kdtree,500,0.05643259361386299,0.14144258201122284,1019776633667584.0,7217079.0,151.76364946365356,2.4065213203430176,305,3695.9868852459017,0.02605750970542431,86.5498046875,118.0,305,4116.131442110655,16.77170117944479,2026-05-31 22:29:31
2,f_osc,uniform,1000,0.007845249958336353,0.04387037083506584,310119992655872.0,2743443.5,282.24532294273376,0.5001835823059082,565,3773.7238938053097,21.46004855632782,178.431640625,196.0,565,4333.262437776549,0.09586815908551216,2026-05-31 22:44:02
2,f_osc,kdtree,1000,0.07787363976240158,0.16384384036064148,1415231720914944.0,8861652.0,283.92679476737976,2.388246536254883,569,3725.9718804920913,0.22416535764932632,103.67041015625,148.0,569,4442.903346056678,9.190291166305542e-06,2026-05-31 22:48:48
3,f_osc,uniform,100,0.29364925622940063,0.34939876198768616,2095964709978112.0,13415380.0,276.62695956230164,0.5968747138977051,554,3727.9783393501807,0.1294947136193514,104.40283203125,150.0,554,4449.491433043772,0.01210717111825943,2026-05-31 22:54:26
3,f_osc,kdtree,100,0.18622258305549622,0.28081169724464417,1687777326399488.0,11470923.0,59.82445740699768,2.4986515045166016,121,3726.0,0.0,97.6337890625,148.0,121,4480.583128873967,0.009115982800722122,2026-05-31 22:55:28
3,f_osc,uniform,500,0.030481314286589622,0.10061633586883545,531105723711488.0,5267896.0,284.76247906684875,0.6320858001708984,570,3767.8526315789472,6.167756233364344,147.1171875,190.0,570,4532.042009320176,0.0001836828887462616,2026-05-31 23:05:15
