Repetion, Time(min), MSE
0, 0.07019104560216267, 0.04879089444875717
1, 0.07644064823786417, 0.0589066706597805
2, 0.06850676933924357, 0.05367232859134674
3, 0.06975669066111247, 0.05214078351855278
4, 0.0787767211596171, 0.055383890867233276
Mean, 0.07273437499999999, 0.05377891361713409
Std, 0.004085442117988387, 0.0033599110129121424
