Repetion, Time(min), MSE
0, 0.07828136285146077, 0.03980153799057007
1, 0.07230565945307414, 0.03321719542145729
2, 0.08007584810256958, 0.04143877327442169
3, 0.07063790957132975, 0.02712910994887352
4, 0.07925051053365072, 0.02916071005165577
Mean, 0.07611025810241699, 0.03414946533739567
Std, 0.0038658079243742613, 0.005659012842464063
