Repetion, Time(min), MSE
0, 0.10193323294321696, 0.019778098911046982
1, 0.07073020537694295, 0.03178154677152634
2, 0.06884349187215169, 0.03649331256747246
3, 0.07426805893580118, 0.03877710551023483
4, 0.06972577969233194, 0.029638877138495445
Mean, 0.07710015376408894, 0.031293788179755214
Std, 0.01255255100476497, 0.006612455375409273
