iter,Tiempo (min),mse
0,1.4093522111574808,0.01622146926820278
1,1.3667803009351094,0.025451062247157097
2,1.3779884934425355,0.018814975395798683
3,1.431746816635132,0.01944737508893013
4,1.410532295703888,0.021654676645994186
5,1.413186260064443,0.026739751920104027
6,1.3948269804318747,0.026488585397601128
7,1.4259070078531901,0.015375939197838306
8,1.392627195517222,0.02300379052758217
9,1.4212806502978006,0.023587794974446297
10,1.3603317340215046,0.0218735970556736
11,1.3777105847994486,0.020431125536561012
12,1.4135072906812032,0.021740956231951714
13,1.3620099385579427,0.018276551738381386
14,1.3651896278063456,0.021220240741968155
15,1.3842456698417664,0.01721256598830223
16,1.400584864616394,0.01908602938055992
17,1.3882226824760437,0.027082212269306183
18,1.3770289818445842,0.017518293112516403
19,1.4237281799316406,0.020364733412861824
20,1.4064016342163086,0.01995556429028511
Promedio,1.3953899714681837,0.02102606144866773
Desviación Estándar,0.021988966919733777,0.003333640138353769
