iter,Tiempo (min),mse
0,1.4229601224263508,0.00047008879482746124
1,1.3936179320017497,0.00045145791955292225
2,1.380831742286682,0.0015886047622188926
3,1.3830396294593812,0.002989807166159153
4,1.3867698629697165,0.001001938828267157
5,1.3959376613299053,0.004344138316810131
6,1.379614571730296,0.002474288921803236
7,1.4089210708936055,0.00353754754178226
8,1.392225444316864,0.004292526748031378
9,1.4986871163050333,0.0006762423436157405
10,1.4203479925791422,0.0024671913124620914
11,1.3856118281682333,0.0017266810173168778
12,1.4309164126714071,0.0007968819700181484
13,1.394559371471405,0.0006332270568236709
14,1.3727955102920533,0.000592784199398011
15,1.4219828049341838,0.0002849191369023174
16,1.3682401100794475,0.0007084965473040938
17,1.4095510959625244,0.00869947299361229
18,1.428782578309377,0.00039217175799421966
19,1.37764364083608,0.0013350793160498142
20,1.3746330658594768,0.0035578743554651737
Promedio,1.401317598327758,0.002048639095543573
Desviación Estándar,0.028928689122524963,0.00198159909597229
