Mean,Std,Min,Max
2.369601249694824,0.12566744794086104,2.2437784671783447,2.512239694595337
0.4085933506488799,0.018085602081276953,0.3920787870883941,0.4349930882453918
0.12993330061435696,0.007019287271483573,0.122370921075344,0.1381864249706268
0.059671508520841535,0.0026513957729132533,0.0573881268501281,0.0641311481595039
0.03749539181590076,0.002544325340242602,0.0347841531038284,0.0406950041651725
0.028991431742906536,0.0024785961065633584,0.0261075384914875,0.0320639945566654
0.0249698113650083,0.0023806372373409972,0.0220155492424964,0.0281692966818809
0.022633766755461637,0.002355200088995281,0.0196187552064657,0.0259391516447067
0.021041382476687378,0.0023685319774498265,0.0179638806730508,0.0243826080113649
0.01982445456087584,0.0023918006318397974,0.0166587084531784,0.0231452323496341
0.018826606683432997,0.002405287690313275,0.0155602665618062,0.0220844335854053
0.017969577945768804,0.002405678365392753,0.0145994396880269,0.0211343001574277
0.01720937993377442,0.002396725389965313,0.0137400580570101,0.0202614217996597
0.016520793549716424,0.002383067907734885,0.012959218584001,0.0194472502917051
0.015886896289885,0.00236680924856628,0.0122421141713857,0.0186753291636705
0.0152983140200376,0.002350571686352952,0.0115792592987418,0.0179382059723138
0.01474700849503276,0.0023355409853656277,0.0109639214351773,0.0172311645001173
0.014227665588259658,0.0023222697301297267,0.0103910220786929,0.0165513064712286
0.01373663526028392,0.0023109548727873195,0.0098565425723791,0.0158968735486269
0.013271165266632958,0.0023015197627441245,0.0093571785837411,0.0152669018134474
