Repetion,Time (min),MSE
0,0.11009175777435302,0.03333995118737221
1,0.1562110662460327,0.03241964802145958
2,0.07474679946899414,0.029645534232258797
3,0.06187212864557902,0.02630370296537876
4,0.05747922658920288,0.017746470868587494
Mean,0.09208019574483237,0.027891061455011367
Std,0.03700644789444687,0.005633987850042162
