Mean, Std, Min, Max
3.255469036102295, 0.4152393770836836, 2.743501901626587, 3.747912645339966
0.3495019018650055, 0.05762419902746159, 0.2565308809280395, 0.4004015624523163
0.09028573930263513, 0.021961625304740395, 0.0539594590663909, 0.1126692071557045
0.04766981825232498, 0.011614590594276367, 0.0320996679365634, 0.0616627223789691
0.03666568435728546, 0.011813316087271035, 0.0257854685187339, 0.0546155124902725
0.03208290301263326, 0.012024938200362122, 0.0221599228680133, 0.0510204695165157
0.029352400079369477, 0.01202219863768537, 0.0196519270539283, 0.0485798902809619
0.02738825678825376, 0.011960367728393444, 0.0178089141845703, 0.046753641217947
0.02584815509617324, 0.011877787094799157, 0.0164163205772638, 0.0453092008829116
0.02458686660975214, 0.011788445161614789, 0.0153326848521828, 0.0441225953400135
0.023516963422298382, 0.011700739857418192, 0.0144597794860601, 0.04311453551054
0.022586599551141198, 0.011610246407809494, 0.0137420678511261, 0.0422218702733516
0.02176274806261056, 0.011517706304105571, 0.0131406541913747, 0.0414107404649257
0.0210221173241734, 0.0114234234708643, 0.0126277189701795, 0.0406576208770275
0.020347977802157358, 0.011327133877042993, 0.012182954698801, 0.0399457216262817
0.01972801387310024, 0.01122817191790903, 0.0117913074791431, 0.0392628237605094
0.019153202325105638, 0.011126168530014477, 0.0114415194839239, 0.0386011004447937
0.01861809249967334, 0.011023822951408637, 0.0111250402405858, 0.0379621498286724
0.0181151587516069, 0.01091592885848242, 0.0108353458344936, 0.0373311080038547
0.01763994414359326, 0.010801636684799035, 0.0105674024671316, 0.0367041081190109
