Mean,Std,Min,Max
2.583600616455078,0.3253186280453443,2.245161771774292,3.112759590148926
0.4140789806842803,0.011735469269495102,0.399925023317337,0.426257312297821
0.13064762800931926,0.010942053064558055,0.1147008314728736,0.143986240029335
0.06576689109206198,0.009997224382760926,0.0520722791552543,0.0765571668744087
0.0464218400418758,0.011503844671182331,0.035439133644104,0.0631663352251052
0.03873088769614692,0.011624936175962507,0.028674317523837,0.0567350834608078
0.03458627425134176,0.011129326944961097,0.0248698014765977,0.052240777760744
0.03178175650537009,0.010515601165240671,0.0225907936692237,0.0486420430243015
0.029621911048889116,0.009950554162841727,0.0209341775625944,0.0456186756491661
0.0278239347040653,0.009457717164363154,0.0195841267704963,0.0429893434047699
0.026269625499844497,0.009035233878278046,0.0184267647564411,0.040666215121746
0.02489400506019586,0.008673687348554773,0.0174073707312345,0.0385894812643528
0.023654558509588176,0.008365618507124212,0.0164829511195421,0.0367165356874465
0.02252530660480258,0.008101188392482625,0.015484751202166,0.0350159294903278
0.02148826159536834,0.007871935398515205,0.0143557218834757,0.0334637984633445
0.02053078077733512,0.007670339132698643,0.0133131518959999,0.0320414081215858
0.0196469902992248,0.007489022002957368,0.0123525941744446,0.0307336468249559
0.018825541995465718,0.007325136086141083,0.0114696705713868,0.0295279994606971
0.01806606668978924,0.007183437147451648,0.0106610693037509,0.0284354127943515
0.017360793054103818,0.007057087750900012,0.009923349134624,0.0274412706494331
