Model;Function;Dim;N_samples;Ref_Samples;MSE_mean;MSE_std;MAE_mean;MAE_std;TIME_mean;TIME_std
SESM;Styblinski_Tang;2;1024;5;1.1033379882574081;0.32789518329502604;0.5160097941756249;0.0504893607220834;34.21699696779251;1.2306871638667194
SVR;Styblinski_Tang;2;4;1;3227.2911076856167;998.9190700746608;42.43473805686662;9.084068820367195;0.0006856441497802735;4.202533086854209e-05
SVR;Styblinski_Tang;2;16;2;2842.2734460410784;285.93021389038813;38.20615888849673;1.3380020326441335;0.0007393836975097656;6.79942701637557e-05
SVR;Styblinski_Tang;2;64;3;2895.110236563397;164.39850568483874;36.9057869635527;0.2690122362539948;0.0008316993713378906;2.9066872230953953e-05
SVR;Styblinski_Tang;2;256;4;2717.147032570495;84.02505101642123;35.85481001457733;0.16550393639536934;0.0027837157249450684;0.00010612554025799002
SVR;Styblinski_Tang;2;1024;5;2395.726770977367;67.03021730441871;33.86917803542366;0.21236444095758492;0.03265841007232666;0.0006343792973687633
ANN;Styblinski_Tang;3;8;1;6868.110107421875;2127.2805944439046;62.717682647705075;10.994289863753936;1.8182184934616088;0.665306916152241
ANN;Styblinski_Tang;3;64;2;3506.55859375;608.0707995018206;40.536393547058104;3.978186910639472;1.949752104282379;0.4987362367483517
ANN;Styblinski_Tang;3;512;3;261.6637367248535;67.62506343485028;9.02345359325409;1.0220145476157039;1.4402241706848145;0.32858228246986354
ANN;Styblinski_Tang;3;4096;4;88.44916305541992;12.040113732659217;6.125903940200805;0.5100342130538811;2.2509795427322388;0.45005246946386307
ANN;Styblinski_Tang;3;32768;5;79.64962863922119;8.262348237325995;5.991321635246277;0.40908343135794617;3.701468753814697;0.8828563983885407
PF;Styblinski_Tang;3;8;1;23623.838914700576;34559.6025506066;89.07317451702576;46.1547654446113;0.0017760634422302247;0.00037525642507736244
PF;Styblinski_Tang;3;64;2;3179.7681597718;564.1325787578297;42.29414233796432;2.493701379328455;0.0015785813331604004;3.5100322573922806e-05
PF;Styblinski_Tang;3;512;3;2121.9952521452424;58.92362492605266;36.49561350773647;0.2634986058959859;0.0018593192100524903;5.615116799355551e-05
PF;Styblinski_Tang;3;4096;4;2055.080049661016;11.242124987175844;36.06213220302456;0.04304478200199329;0.004932093620300293;0.0003685621665406422
PF;Styblinski_Tang;3;32768;5;2044.4220986851337;4.305468997524137;35.9959246115546;0.016090107779084498;0.017463648319244386;0.0031429301023378512
SESM;Styblinski_Tang;3;8;1;4761.058532714844;687.3056029803328;53.56729240417481;5.324758487067985;34.704250514507294;1.4254815955371583
SESM;Styblinski_Tang;3;64;2;1512.2841369628907;282.78923053324735;25.453628730773925;2.4778912627517813;35.57171267271042;1.4161241904427249
SESM;Styblinski_Tang;3;512;3;8.934134268760682;3.2934927794519373;1.3811398267745971;0.20742089576541314;36.51271612644196;0.8192671653413659
SESM;Styblinski_Tang;3;4096;4;0.9363238275051117;0.14724001483014504;0.5145535349845887;0.049326171913033824;52.819816851615904;0.36085078960860034
SESM;Styblinski_Tang;3;32768;5;0.6999035656452179;0.039196368632937434;0.46698448359966277;0.009333991738038307;416.80673822164533;55.455974267980665
SVR;Styblinski_Tang;3;8;1;4436.624852537411;636.379536524815;50.607789297204114;3.0694536548536853;0.0007037520408630371;4.380274741384615e-05
SVR;Styblinski_Tang;3;64;2;4278.486912704624;290.8082833222402;48.0605723156681;0.520856149542464;0.0008238792419433594;3.059862595174838e-05
SVR;Styblinski_Tang;3;512;3;3917.799232595486;122.59677604223106;45.59835063864712;0.3223219665259005;0.008539772033691407;0.00016047468044867283
SVR;Styblinski_Tang;3;4096;4;2990.545504304996;42.499263796205234;40.73120621330546;0.1659302741700548;0.4538092494010925;0.0045587274517790675
SVR;Styblinski_Tang;3;32768;5;1649.5989709040527;10.07092955742615;29.828563747999674;0.0827936403360516;31.510761308670045;2.293386341830102
ANN;Zakharov;1;2;1;72035.8296875;16686.282597024136;178.54433326721193;33.28455024824683;0.6188552260398865;0.008220775597474762
ANN;Zakharov;1;4;2;46820.5060546875;19747.37388916137;127.62020530700684;30.208998177743272;0.6717454671859742;0.006250495716571939
ANN;Zakharov;1;8;3;14535.725991916657;14529.354609211816;47.88277990818024;33.160391854756455;0.7054573059082031;0.0071037495244637575
ANN;Zakharov;1;16;4;5735.787798595428;7043.215742494451;24.935898637771608;21.116369123933087;0.7027517676353454;0.0036733317240755067
ANN;Zakharov;1;32;5;626.9760570526123;1968.2334976312618;6.564739310741425;7.083796123846899;0.7144880890846252;0.004456130288221337
PF;Zakharov;1;2;1;261803.64495035572;714829.2603892912;268.08577397704875;266.1312232522785;0.0014230608940124512;5.544905128023042e-05
PF;Zakharov;1;4;2;461472.81335433404;1329734.4827756116;215.41292304608328;306.57530452080584;0.0014838099479675293;0.00014033979570971376
PF;Zakharov;1;8;3;36581.74359794133;51603.477699237024;82.75883007587716;43.482142753538945;0.001437973976135254;8.264160590408635e-05
PF;Zakharov;1;16;4;11887.664565936973;10520.708970638852;57.416118471099274;14.514122473103322;0.0014440417289733887;6.335185316811218e-05
PF;Zakharov;1;32;5;4565.626286826981;4792.194973442876;46.57375364592475;6.768937230927957;0.0014947056770324707;0.00020356170569572766
SESM;Zakharov;1;2;1;79403.2248046875;30778.212642084254;192.46062927246095;59.948462924912086;42.52471345663071;0.9008349983808445
SESM;Zakharov;1;4;2;41125.7787109375;16591.480512236496;123.80806007385254;25.9121842451717;42.95513519048691;0.5977879766294786
SESM;Zakharov;1;8;3;12003.910451507569;12221.314071753752;45.036219120025635;26.13565451055821;42.77598515748978;0.7740487673418859
SESM;Zakharov;1;16;4;4244.882349061966;5561.517611275033;21.347010827064516;17.07716079686886;42.65738537311554;0.7339497845605414
SESM;Zakharov;1;32;5;663.258349609375;2202.851210377765;6.752784597873688;8.087903623870444;40.63570520877838;2.7547620971935185
SVR;Zakharov;1;2;1;71961.44659347873;24331.323571685538;188.800139180891;51.38308807833006;0.0008224129676818847;8.38463764621154e-05
SVR;Zakharov;1;4;2;64281.784330444396;18432.090637096528;180.952995460849;36.258931957720456;0.0008534312248229981;5.9997715675355385e-05
SVR;Zakharov;1;8;3;60783.34231441117;11436.260425522769;172.98511726629317;23.104985610936655;0.0009558796882629395;0.00021664648899139035
