Model,Function,Dim,Run,N_samples,MSE,MAE,TIME
NN,Styblinski_Tang,1,2,8,1455.012451171875,21.44904136657715,0.6201016902923584
NN,Styblinski_Tang,1,3,8,1598.19091796875,21.345476150512695,0.6223719120025635
NN,Styblinski_Tang,1,4,8,1141.7236328125,13.324965476989746,0.6290104389190674
NN,Styblinski_Tang,1,5,8,94.16478729248047,6.136538028717041,0.6225764751434326
NN,Styblinski_Tang,1,6,8,1329.37451171875,27.157970428466797,0.617739200592041
NN,Styblinski_Tang,1,7,8,1270.418701171875,16.27773666381836,0.6260907649993896
NN,Styblinski_Tang,1,8,8,1997.0340576171875,21.99193572998047,0.6269562244415283
NN,Styblinski_Tang,1,9,8,979.6369018554688,18.041688919067383,0.6258463859558105
NN,Styblinski_Tang,1,10,8,1126.440673828125,13.496809005737305,0.618417501449585
NN,Styblinski_Tang,1,11,8,1305.7835693359375,17.467191696166992,0.6248753070831299
NN,Styblinski_Tang,1,12,8,1141.295166015625,19.279844284057617,0.621262788772583
NN,Styblinski_Tang,1,13,8,1546.740478515625,18.235273361206055,0.6169402599334717
NN,Styblinski_Tang,1,14,8,568.13427734375,10.255850791931152,0.6206154823303223
NN,Styblinski_Tang,1,15,8,354.2530517578125,11.334519386291504,0.6230230331420898
NN,Styblinski_Tang,1,16,8,1431.2177734375,18.063684463500977,0.6260354518890381
NN,Styblinski_Tang,1,17,8,179.25601196289062,9.310004234313965,0.6293022632598877
NN,Styblinski_Tang,1,18,8,1119.1533203125,15.173269271850586,0.6279757022857666
NN,Styblinski_Tang,1,19,8,916.9957885742188,14.997790336608887,0.6342713832855225
NN,Styblinski_Tang,1,20,8,53.4838752746582,5.607278347015381,0.6157314777374268
NN,Styblinski_Tang,1,1,16,348.1438293457031,6.715446949005127,0.621368408203125
NN,Styblinski_Tang,1,2,16,1349.0072021484375,18.511240005493164,0.6274669170379639
NN,Styblinski_Tang,1,3,16,478.5108947753906,9.575347900390625,0.6319584846496582
NN,Styblinski_Tang,1,4,16,289.6432189941406,5.441031455993652,0.6243374347686768
NN,Styblinski_Tang,1,5,16,2.2351181507110596,1.151503324508667,0.6252403259277344
NN,Styblinski_Tang,1,6,16,29.8709716796875,3.562734365463257,0.6206080913543701
NN,Styblinski_Tang,1,7,16,1027.836181640625,14.724285125732422,0.6431386470794678
NN,Styblinski_Tang,1,8,16,1736.014404296875,20.326923370361328,0.6233429908752441
NN,Styblinski_Tang,1,9,16,39.47620391845703,2.4825267791748047,0.6277191638946533
NN,Styblinski_Tang,1,10,16,617.6666870117188,9.359352111816406,0.6291532516479492
NN,Styblinski_Tang,1,11,16,1146.036376953125,13.000858306884766,0.6271905899047852
NN,Styblinski_Tang,1,12,16,675.971923828125,11.079407691955566,0.6260595321655273
NN,Styblinski_Tang,1,13,16,1786.1337890625,19.362123489379883,0.6217973232269287
NN,Styblinski_Tang,1,14,16,3.8965988159179688,1.291300654411316,0.6222362518310547
NN,Styblinski_Tang,1,15,16,54.511802673339844,2.7646970748901367,0.6320750713348389
NN,Styblinski_Tang,1,16,16,1193.7322998046875,13.731350898742676,0.6253864765167236
NN,Styblinski_Tang,1,17,16,18.24058723449707,2.700726270675659,0.6269328594207764
NN,Styblinski_Tang,1,18,16,1069.21826171875,12.442730903625488,0.6319184303283691
NN,Styblinski_Tang,1,19,16,132.95114135742188,4.860342502593994,0.6286931037902832
NN,Styblinski_Tang,1,20,16,11.771363258361816,1.7543829679489136,0.6251449584960938
NN,Styblinski_Tang,1,1,32,24.575258255004883,1.5707226991653442,0.6152427196502686
NN,Styblinski_Tang,1,2,32,25.54804229736328,2.4726104736328125,0.6161201000213623
NN,Styblinski_Tang,1,3,32,2.552952527999878,0.6535677909851074,0.6304843425750732
NN,Styblinski_Tang,1,4,32,14.824018478393555,1.1082735061645508,0.6227805614471436
NN,Styblinski_Tang,1,5,32,0.6551759243011475,0.4685969650745392,0.6208107471466064
NN,Styblinski_Tang,1,6,32,15.468581199645996,1.0355582237243652,0.6217975616455078
NN,Styblinski_Tang,1,7,32,38.95468521118164,2.964860200881958,0.6275756359100342
NN,Styblinski_Tang,1,8,32,121.05950927734375,3.505462646484375,0.6227540969848633
NN,Styblinski_Tang,1,9,32,29.20438003540039,1.375311017036438,0.6149961948394775
NN,Styblinski_Tang,1,10,32,124.74531555175781,3.173051118850708,0.6211445331573486
NN,Styblinski_Tang,1,11,32,1.9681662321090698,0.6395546197891235,0.6206717491149902
NN,Styblinski_Tang,1,12,32,48.18267059326172,1.9914464950561523,0.6160986423492432
NN,Styblinski_Tang,1,13,32,58.21067428588867,2.7405524253845215,0.6187150478363037
NN,Styblinski_Tang,1,14,32,2.2767345905303955,0.7327072620391846,0.6128826141357422
NN,Styblinski_Tang,1,15,32,0.6980937719345093,0.494928777217865,0.622431755065918
NN,Styblinski_Tang,1,16,32,7.792053699493408,1.1581021547317505,0.6164646148681641
NN,Styblinski_Tang,1,17,32,0.3203709125518799,0.4117755591869354,0.6193368434906006
NN,Styblinski_Tang,1,18,32,1042.4927978515625,11.262712478637695,0.6087617874145508
NN,Styblinski_Tang,1,19,32,33.022911071777344,1.369747281074524,0.6207728385925293
NN,Styblinski_Tang,1,20,32,5.19490909576416,0.777035117149353,0.6189048290252686
PF,Styblinski_Tang,1,1,2,2389.9416851320398,32.71940738688193,0.0020766258239746094
PF,Styblinski_Tang,1,2,2,1996.6528885056282,28.085922945988532,0.0014693737030029297
PF,Styblinski_Tang,1,3,2,1318.6325697471455,22.701327968775885,0.001373291015625
PF,Styblinski_Tang,1,4,2,270546.0091744288,417.824017302131,0.0013267993927001953
PF,Styblinski_Tang,1,5,2,1962.5875547645828,30.447985511575872,0.0013709068298339844
PF,Styblinski_Tang,1,6,2,1669.2073791652615,24.759348728780296,0.0013000965118408203
PF,Styblinski_Tang,1,7,2,2041.8634306159574,31.020486255318566,0.0012543201446533203
PF,Styblinski_Tang,1,8,2,1933.510635076419,28.66846253557349,0.0014047622680664062
PF,Styblinski_Tang,1,9,2,1654.6066344919218,27.29584314055373,0.0013518333435058594
PF,Styblinski_Tang,1,10,2,1604.641116963442,24.154230210847984,0.0013005733489990234
PF,Styblinski_Tang,1,11,2,1432.0939911167673,26.385238751058377,0.0013048648834228516
PF,Styblinski_Tang,1,12,2,1620.1158896702718,27.431734872435623,0.0013425350189208984
PF,Styblinski_Tang,1,13,2,2708.75902345389,35.575559938380174,0.0012993812561035156
PF,Styblinski_Tang,1,14,2,1271.1292672826123,24.873574794237864,0.0013775825500488281
PF,Styblinski_Tang,1,15,2,4477.568280541166,49.10512967221191,0.001306295394897461
PF,Styblinski_Tang,1,16,2,3078.470559442293,38.524906045607494,0.0013992786407470703
PF,Styblinski_Tang,1,17,2,1521.3538580439476,23.813069481145977,0.0013585090637207031
PF,Styblinski_Tang,1,18,2,1294.4877918347759,24.555368884977828,0.001354217529296875
PF,Styblinski_Tang,1,19,2,1357.8192322657299,25.66392574697014,0.001329183578491211
PF,Styblinski_Tang,1,20,2,2632.322038402995,36.14919760428623,0.0012767314910888672
PF,Styblinski_Tang,1,1,4,8127.203887597891,41.17186267795709,0.0014140605926513672
PF,Styblinski_Tang,1,2,4,5892.756059847788,41.961962985661756,0.0012845993041992188
PF,Styblinski_Tang,1,3,4,10123.406854332214,58.503081288916036,0.0012819766998291016
PF,Styblinski_Tang,1,4,4,519546.84024995804,469.31722494052076,0.0013282299041748047
PF,Styblinski_Tang,1,5,4,10871.321201987806,70.60811106450356,0.0014348030090332031
PF,Styblinski_Tang,1,6,4,2084.226462225075,36.16356299142162,0.0018072128295898438
PF,Styblinski_Tang,1,7,4,38397.86371940395,101.87113921860096,0.0015299320220947266
PF,Styblinski_Tang,1,8,4,5454.408094624997,40.67349210884785,0.0013089179992675781
PF,Styblinski_Tang,1,9,4,21990.746167597845,66.12449593390068,0.00138092041015625
PF,Styblinski_Tang,1,10,4,7891.4634315057865,46.16179172656685,0.0012693405151367188
PF,Styblinski_Tang,1,11,4,14894.642890518438,63.252482912905734,0.0013246536254882812
PF,Styblinski_Tang,1,12,4,2217.9964530358575,31.653774829317356,0.001375436782836914
PF,Styblinski_Tang,1,13,4,11927.224835042718,69.59412585976007,0.0013022422790527344
PF,Styblinski_Tang,1,14,4,6978.689001939452,39.9049066545174,0.0014567375183105469
PF,Styblinski_Tang,1,15,4,1660.636901224618,30.693778679476406,0.0013234615325927734
PF,Styblinski_Tang,1,16,4,4953.292491673287,38.24843924551016,0.001378774642944336
PF,Styblinski_Tang,1,17,4,1305.0829876435598,24.40968113996181,0.0012698173522949219
PF,Styblinski_Tang,1,18,4,2201.616560615435,27.11051288824317,0.001390695571899414
PF,Styblinski_Tang,1,19,4,7860.54100054576,49.0223997713046,0.001336812973022461
PF,Styblinski_Tang,1,20,4,5093.6679821791295,33.92621960744151,0.0013339519500732422
PF,Styblinski_Tang,1,1,8,1234.0346574091752,22.343866180262903,0.0013167858123779297
PF,Styblinski_Tang,1,2,8,2951.9938617064604,30.594503851149963,0.0013458728790283203
PF,Styblinski_Tang,1,3,8,5764.801376017097,38.24686164175376,0.0013401508331298828
PF,Styblinski_Tang,1,4,8,10494.699883108757,46.19653534008632,0.0013415813446044922
PF,Styblinski_Tang,1,5,8,1009.6428652403728,26.61930113843495,0.001295328140258789
PF,Styblinski_Tang,1,6,8,1328.5536587380898,27.543924763952674,0.001424551010131836
PF,Styblinski_Tang,1,7,8,9147.637064180342,44.53420987532353,0.0012907981872558594
PF,Styblinski_Tang,1,8,8,5147.143438822266,39.016573061070524,0.0012466907501220703
PF,Styblinski_Tang,1,9,8,963.3115595391364,24.777174419753848,0.001409769058227539
PF,Styblinski_Tang,1,10,8,9581.351214470522,44.40503702237875,0.0013442039489746094
PF,Styblinski_Tang,1,11,8,4551.337760620809,34.0596298133791,0.0013909339904785156
PF,Styblinski_Tang,1,12,8,2032.054315489666,28.05078354832538,0.0013687610626220703
PF,Styblinski_Tang,1,13,8,26138.929059921244,74.82944895358968,0.0013442039489746094
PF,Styblinski_Tang,1,14,8,2682.7798459799833,28.51936962562591,0.0012578964233398438
PF,Styblinski_Tang,1,15,8,1033.7699243858508,25.592111910128523,0.0014019012451171875
PF,Styblinski_Tang,1,16,8,10777.136939912643,47.341688243489344,0.0013670921325683594
PF,Styblinski_Tang,1,17,8,1048.6808564710886,28.167959231078623,0.0013039112091064453
PF,Styblinski_Tang,1,18,8,4016.157359084757,31.79413055555874,0.0012710094451904297
PF,Styblinski_Tang,1,19,8,33820.25987582046,85.03024240606524,0.0013506412506103516
PF,Styblinski_Tang,1,20,8,830.6154227010934,25.145757341558305,0.0012552738189697266
PF,Styblinski_Tang,1,1,16,1520.1484481333518,23.893170751422048,0.0013852119445800781
PF,Styblinski_Tang,1,2,16,5312.237821917264,35.9849286281994,0.0012218952178955078
PF,Styblinski_Tang,1,3,16,992.3387146807878,22.84298217112135,0.0012919902801513672
PF,Styblinski_Tang,1,4,16,2048.3814825675317,25.801265522874118,0.0012640953063964844
PF,Styblinski_Tang,1,5,16,751.46731836132,23.88844773139522,0.0013947486877441406
