CMDLINE python ./main_debug.py dim=2 stream_steps=[4] methods_to_test=[uniform]
MEM 0.328125 1772673127.3988
MEM 18.617188 1772673127.5060
MEM 23.160156 1772673127.6121
MEM 23.265625 1772673127.7209
MEM 34.003906 1772673127.8331
MEM 43.812500 1772673127.9423
MEM 44.105469 1772673128.0513
MEM 44.183594 1772673128.1603
MEM 44.191406 1772673128.2693
MEM 44.191406 1772673128.3786
MEM 70.617188 1772673128.4874
MEM 85.105469 1772673128.5958
MEM 89.382812 1772673128.7018
MEM 109.632812 1772673128.8087
MEM 111.257812 1772673128.9177
MEM 112.542969 1772673129.0243
MEM 135.660156 1772673129.1302
MEM 135.660156 1772673129.2389
MEM 149.777344 1772673129.3450
MEM 158.039062 1772673129.4516
MEM 164.988281 1772673129.5587
MEM 170.968750 1772673129.6652
MEM 175.761719 1772673129.7716
MEM 183.601562 1772673129.8784
MEM 187.582031 1772673129.9849
MEM 196.820312 1772673130.0918
MEM 200.085938 1772673130.1985
MEM 203.703125 1772673130.3072
MEM 208.468750 1772673130.4140
MEM 216.738281 1772673130.5197
MEM 224.136719 1772673130.6280
MEM 228.687500 1772673130.7343
MEM 234.894531 1772673130.8413
MEM 238.042969 1772673130.9471
MEM 243.468750 1772673131.0539
MEM 256.316406 1772673131.1610
MEM 299.531250 1772673131.2668
MEM 312.933594 1772673131.3734
MEM 315.410156 1772673131.4793
MEM 318.792969 1772673131.5864
MEM 326.132812 1772673131.6932
MEM 329.367188 1772673131.8002
MEM 336.312500 1772673131.9067
MEM 339.730469 1772673132.0133
MEM 342.761719 1772673132.1198
MEM 344.683594 1772673132.2260
MEM 344.800781 1772673132.3325
MEM 345.851562 1772673132.4394
MEM 347.843750 1772673132.5453
MEM 356.605469 1772673132.6513
MEM 365.531250 1772673132.7581
MEM 370.121094 1772673132.8653
MEM 373.285156 1772673132.9719
MEM 373.558594 1772673133.0782
MEM 373.851562 1772673133.1850
MEM 374.031250 1772673133.2915
MEM 374.121094 1772673133.3983
MEM 374.265625 1772673133.5044
MEM 374.363281 1772673133.6119
MEM 374.375000 1772673133.7187
MEM 374.476562 1772673133.8254
MEM 374.718750 1772673133.9325
MEM 376.101562 1772673134.0394
MEM 377.343750 1772673134.1459
MEM 378.921875 1772673134.2528
MEM 392.484375 1772673134.3615
MEM 425.660156 1772673134.4709
MEM 425.660156 1772673134.5805
MEM 442.070312 1772673134.6897
MEM 445.152344 1772673134.7987
MEM 446.214844 1772673134.9073
MEM 446.214844 1772673135.0158
MEM 446.230469 1772673135.1243
MEM 455.453125 1772673135.2310
MEM 461.363281 1772673135.3383
MEM 458.027344 1772673135.4454
MEM 460.175781 1772673135.5524
MEM 461.867188 1772673135.6590
MEM 462.636719 1772673135.7658
MEM 464.781250 1772673135.8727
MEM 466.742188 1772673135.9795
MEM 469.273438 1772673136.0868
MEM 470.902344 1772673136.1941
MEM 473.457031 1772673136.3012
MEM 475.582031 1772673136.4084
MEM 478.351562 1772673136.5156
MEM 479.195312 1772673136.6230
MEM 481.984375 1772673136.7301
MEM 483.289062 1772673136.8368
MEM 484.718750 1772673136.9434
MEM 485.859375 1772673137.0506
MEM 489.207031 1772673137.1577
MEM 489.625000 1772673137.2645
MEM 491.257812 1772673137.3715
MEM 492.675781 1772673137.4779
MEM 494.281250 1772673137.5848
MEM 494.902344 1772673137.6914
MEM 496.109375 1772673137.7983
MEM 496.261719 1772673137.9050
MEM 496.414062 1772673138.0117
