Mean,Std,Min,Max
2.072554659843445,0.21150895247032092,1.9131709337234497,2.4164865016937256
0.37514100670814515,0.0560790153436073,0.2786027491092682,0.4190249443054199
0.1333665370941162,0.02630729160945759,0.0930722951889038,0.1580131500959396
0.07004829794168468,0.014163190163691533,0.0557697303593158,0.0867854505777359
0.047687079757452,0.01210039025193566,0.0320799425244331,0.0590970255434513
0.03791581206023688,0.01121285914622098,0.0233587324619293,0.0464071705937385
0.032826252654194796,0.010472550069678272,0.0195846986025571,0.0417663417756557
0.029757113754749244,0.00987428550305466,0.0176289826631546,0.0388048663735389
0.02767539471387858,0.00939850526861588,0.0164328254759311,0.0365253500640392
0.02613394334912294,0.009011842537357121,0.0156014841049909,0.0346889048814773
0.024912994168698736,0.008682577800476531,0.0149696329608559,0.033152487128973
0.023899897746741703,0.008391964431100829,0.0144589971750974,0.0318270325660705
0.023025652766227683,0.008125517705930474,0.014028150588274,0.0306552927941083
0.02224867716431612,0.007874393324679724,0.0136530585587024,0.0295993629842996
0.02154354862868784,0.007633677907819633,0.0133188311010599,0.0286334194242954
0.020893331058323323,0.007400370836869573,0.0128449331969022,0.0277392826974391
0.020286373794078782,0.007172682818866641,0.0123846428468823,0.0269037634134292
0.01971444860100742,0.006949607049021158,0.0119654312729835,0.0261169597506523
0.01917160749435418,0.006730658168820871,0.0115803452208638,0.0253712609410285
0.01865540035068984,0.006512928282972655,0.0112338094040751,0.0246606171131134
