Repetion,Time (min),MSE
0,0.09113015333811442,0.015335088595747948
1,0.08249603112538656,0.023104004561901093
2,0.09108992020289103,0.023048531264066696
3,0.08351205190022787,0.021070901304483414
4,0.09504278500874837,0.027487652376294136
Mean,0.08865418831507364,0.022009235620498658
Std,0.0048423512309798645,0.003942497036564013
