Repetion, Time(min), MSE
0, 0.15102031230926513, 0.037466682493686676
1, 0.17714790105819703, 0.013553977012634277
2, 0.08221633434295654, 0.011027637869119644
3, 0.0911276618639628, 0.017240915447473526
4, 0.08216771284739176, 0.011996030807495117
Mean, 0.11673598448435465, 0.01825704872608185
Std, 0.039667045858778734, 0.009834898744601866
