Repetion, Time(min), MSE
0, 0.08332922458648681, 0.030849019065499306
1, 0.09062189658482869, 0.025708256289362907
2, 0.08484145800272623, 0.03931814804673195
3, 0.09273877541224161, 0.04951799288392067
4, 0.08296791712443034, 0.04696592316031456
Mean, 0.08689985434214274, 0.03847186788916588
Std, 0.004009815964487995, 0.00912030314971235
